id,b,c,v,t
13001001,13,1,1,"Adam, Seth, Enosh,"
13001002,13,1,2,"Kenan, Mahalalel, Jared,"
13001003,13,1,3,"Enoch, Methuselah, Lamech,"
13001004,13,1,4,"Noah, Shem, Ham, and Japheth."
13001005,13,1,5,"The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
13001006,13,1,6,"The sons of Gomer: Ashkenaz, and Diphath, and Togarmah."
13001007,13,1,7,"The sons of Javan: Elishah, and Tarshish, Kittim, and Rodanim."
13001008,13,1,8,"The sons of Ham: Cush, and Mizraim, Put, and Canaan."
13001009,13,1,9,"The sons of Cush: Seba, and Havilah, and Sabta, and Raama, and Sabteca. The sons of Raamah: Sheba, and Dedan."
13001010,13,1,10,Cush became the father of Nimrod; he began to be a mighty one in the earth.
13001011,13,1,11,"Mizraim became the father of Ludim, and Anamim, and Lehabim, and Naphtuhim,"
13001012,13,1,12,"and Pathrusim, and Casluhim (from whence came the Philistines), and Caphtorim."
13001013,13,1,13,"Canaan became the father of Sidon his firstborn, and Heth,"
13001014,13,1,14,"and the Jebusite, and the Amorite, and the Girgashite,"
13001015,13,1,15,"and the Hivite, and the Arkite, and the Sinite,"
13001016,13,1,16,"and the Arvadite, and the Zemarite, and the Hamathite."
13001017,13,1,17,"The sons of Shem: Elam, and Asshur, and Arpachshad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech."
13001018,13,1,18,"Arpachshad became the father of Shelah, and Shelah became the father of Eber."
13001019,13,1,19,To Eber were born two sons: the name of the one was Peleg; for in his days the earth was divided; and his brother's name was Joktan.
13001020,13,1,20,"Joktan became the father of Almodad, and Sheleph, and Hazarmaveth, and Jerah,"
13001021,13,1,21,"and Hadoram, and Uzal, and Diklah,"
13001022,13,1,22,"and Ebal, and Abimael, and Sheba,"
13001023,13,1,23,"and Ophir, and Havilah, and Jobab. All these were the sons of Joktan."
13001024,13,1,24,"Shem, Arpachshad, Shelah,"
13001025,13,1,25,"Eber, Peleg, Reu,"
13001026,13,1,26,"Serug, Nahor, Terah,"
13001027,13,1,27,Abram (the same is Abraham).
13001028,13,1,28,"The sons of Abraham: Isaac, and Ishmael."
13001029,13,1,29,"These are their generations: the firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,"
13001030,13,1,30,"Mishma, and Dumah, Massa, Hadad, and Tema,"
13001031,13,1,31,"Jetur, Naphish, and Kedemah. These are the sons of Ishmael."
