id,b,c,v,t
46001001,46,1,1,"Paul, called to be an apostle of Jesus Christ through the will of God, and our brother Sosthenes,"
46001002,46,1,2,"to the assembly of God which is at Corinth; those who are sanctified in Christ Jesus, called to be saints, with all who call on the name of our Lord Jesus Christ in every place, both theirs and ours:"
46001003,46,1,3,Grace to you and peace from God our Father and the Lord Jesus Christ.
46001004,46,1,4,"I always thank my God concerning you, for the grace of God which was given you in Christ Jesus;"
46001005,46,1,5,"that in everything you were enriched in him, in all speech and all knowledge;"
46001006,46,1,6,even as the testimony of Christ was confirmed in you:
46001007,46,1,7,so that you come behind in no gift; waiting for the revelation of our Lord Jesus Christ;
46001008,46,1,8,"who will also confirm you until the end, blameless in the day of our Lord Jesus Christ."
46001009,46,1,9,"God is faithful, through whom you were called into the fellowship of his Son, Jesus Christ, our Lord."
46001010,46,1,10,"Now I beg you, brothers,{The word for ""brothers"" here and where context allows may also be correctly translated ""brothers and sisters"" or ""siblings.""} through the name of our Lord, Jesus Christ, that you all speak the same thing and that there be no divisions among you, but that you be perfected together in the same mind and in the same judgment."
46001011,46,1,11,"For it has been reported to me concerning you, my brothers, by those who are from Chloe's household, that there are contentions among you."
46001012,46,1,12,"Now I mean this, that each one of you says, ""I follow Paul,"" ""I follow Apollos,"" ""I follow Cephas,"" and, ""I follow Christ."""
46001013,46,1,13,Is Christ divided? Was Paul crucified for you? Or were you baptized into the name of Paul?
46001014,46,1,14,"I thank God that I baptized none of you, except Crispus and Gaius,"
46001015,46,1,15,so that no one should say that I had baptized you into my own name.
46001016,46,1,16,"(I also baptized the household of Stephanas; besides them, I don't know whether I baptized any other.)"
46001017,46,1,17,"For Christ sent me not to baptize, but to preach the Gospel--not in wisdom of words, so that the cross of Christ wouldn't be made void."
46001018,46,1,18,"For the word of the cross is foolishness to those who are dying, but to us who are saved it is the power of God."
46001019,46,1,19,"For it is written, ""I will destroy the wisdom of the wise, I will bring the discernment of the discerning to nothing."""
46001020,46,1,20,Where is the wise? Where is the scribe? Where is the lawyer of this world? Hasn't God made foolish the wisdom of this world?
46001021,46,1,21,"For seeing that in the wisdom of God, the world through its wisdom didn't know God, it was God's good pleasure through the foolishness of the preaching to save those who believe."
46001022,46,1,22,"For Jews ask for signs, Greeks seek after wisdom,"
46001023,46,1,23,"but we preach Christ crucified; a stumbling block to Jews, and foolishness to Greeks,"
46001024,46,1,24,"but to those who are called, both Jews and Greeks, Christ is the power of God and the wisdom of God."
46001025,46,1,25,"Because the foolishness of God is wiser than men, and the weakness of God is stronger than men."
46001026,46,1,26,"For you see your calling, brothers, that not many are wise according to the flesh, not many mighty, and not many noble;"
46001027,46,1,27,"but God chose the foolish things of the world that he might put to shame those who are wise. God chose the weak things of the world, that he might put to shame the things that are strong;"
46001028,46,1,28,"and God chose the lowly things of the world, and the things that are despised, and the things that are not, that he might bring to nothing the things that are:"
46001029,46,1,29,that no flesh should boast before God.
46001030,46,1,30,"But of him, you are in Christ Jesus, who was made to us wisdom from God, and righteousness and sanctification, and redemption:"
46001031,46,1,31,"that, according as it is written, ""He who boasts, let him boast in the Lord."""
46002001,46,2,1,"When I came to you, brothers, I didn't come with excellence of speech or of wisdom, proclaiming to you the testimony of God."
46002002,46,2,2,"For I determined not to know anything among you, except Jesus Christ, and him crucified."
46002003,46,2,3,"I was with you in weakness, in fear, and in much trembling."
46002004,46,2,4,"My speech and my preaching were not in persuasive words of human wisdom, but in demonstration of the Spirit and of power,"
46002005,46,2,5,"that your faith wouldn't stand in the wisdom of men, but in the power of God."
46002006,46,2,6,"We speak wisdom, however, among those who are full grown; yet a wisdom not of this world, nor of the rulers of this world, who are coming to nothing."
46002007,46,2,7,"But we speak God's wisdom in a mystery, the wisdom that has been hidden, which God foreordained before the worlds for our glory,"
46002008,46,2,8,"which none of the rulers of this world has known. For had they known it, they wouldn't have crucified the Lord of glory."
46002009,46,2,9,"But as it is written, ""Things which an eye didn't see, and an ear didn't hear, Which didn't enter into the heart of man, These God has prepared for those who love him."""
46002010,46,2,10,"But to us, God revealed them through the Spirit. For the Spirit searches all things, yes, the deep things of God."
46002011,46,2,11,"For who among men knows the things of a man, except the spirit of the man, which is in him? Even so, no one knows the things of God, except God's Spirit."
46002012,46,2,12,"But we received, not the spirit of the world, but the Spirit which is from God, that we might know the things that were freely given to us by God."
46002013,46,2,13,"Which things also we speak, not in words which man's wisdom teaches, but which the Holy Spirit teaches, comparing spiritual things with spiritual things."
46002014,46,2,14,"Now the natural man doesn't receive the things of God's Spirit, for they are foolishness to him, and he can't know them, because they are spiritually discerned."
46002015,46,2,15,"But he who is spiritual discerns all things, and he himself is judged by no one."
46002016,46,2,16,"""For who has known the mind of the Lord, that he should instruct him?"" But we have Christ's mind."
46003001,46,3,1,"Brothers, I couldn't speak to you as to spiritual, but as to fleshly, as to babies in Christ."
46003002,46,3,2,"I fed you with milk, not with meat; for you weren't yet ready. Indeed, not even now are you ready,"
46003003,46,3,3,"for you are still fleshly. For insofar as there is jealousy, strife, and factions among you, aren't you fleshly, and don't you walk in the ways of men?"
