id,b,c,v,t
62001001,62,1,1,"That which was from the beginning, that which we have heard, that which we have seen with our eyes, that which we saw, and our hands touched, concerning the Word of life"
62001002,62,1,2,"(and the life was revealed, and we have seen, and testify, and declare to you the life, the eternal life, which was with the Father, and was revealed to us);"
62001003,62,1,3,"that which we have seen and heard we declare to you, that you also may have fellowship with us. Yes, and our fellowship is with the Father, and with his Son, Jesus Christ."
62001004,62,1,4,"And we write these things to you, that our joy may be fulfilled."
62001005,62,1,5,"This is the message which we have heard from him and announce to you, that God is light, and in him is no darkness at all."
62001006,62,1,6,"If we say that we have fellowship with him and walk in the darkness, we lie, and don't tell the truth."
62001007,62,1,7,"But if we walk in the light, as he is in the light, we have fellowship with one another, and the blood of Jesus Christ, his Son, cleanses us from all sin."
62001008,62,1,8,"If we say that we have no sin, we deceive ourselves, and the truth is not in us."
62001009,62,1,9,"If we confess our sins, he is faithful and righteous to forgive us the sins, and to cleanse us from all unrighteousness."
62001010,62,1,10,"If we say that we haven't sinned, we make him a liar, and his word is not in us."
62002001,62,2,1,"My little children, I write these things to you so that you may not sin. If anyone sins, we have a Counselor{Greek Parakleton: Counselor, Helper, Intercessor, Advocate, and Comfortor.} with the Father, Jesus Christ, the righteous."
62002002,62,2,2,"And he is the atoning sacrifice{""atoning sacrifice"" is from the Greek ""hilasmos,"" an appeasing, propitiating, or the means of appeasement or propitiation-- the sacrifice that turns away God's wrath because of our sin.} for our sins, and not for ours only, but also for the whole world."
62002003,62,2,3,This is how we know that we know him: if we keep his commandments.
62002004,62,2,4,"One who says, ""I know him,"" and doesn't keep his commandments, is a liar, and the truth isn't in him."
62002005,62,2,5,"But whoever keeps his word, God's love has most assuredly been perfected in him. This is how we know that we are in him:"
62002006,62,2,6,he who says he remains in him ought himself also to walk just like he walked.
62002007,62,2,7,"Brothers, I write no new commandment to you, but an old commandment which you had from the beginning. The old commandment is the word which you heard from the beginning."
62002008,62,2,8,"Again, I write a new commandment to you, which is true in him and in you; because the darkness is passing away, and the true light already shines."
62002009,62,2,9,"He who says he is in the light and hates his brother, is in the darkness even until now."
62002010,62,2,10,"He who loves his brother remains in the light, and there is no occasion for stumbling in him."
62002011,62,2,11,"But he who hates his brother is in the darkness, and walks in the darkness, and doesn't know where he is going, because the darkness has blinded his eyes."
62002012,62,2,12,"I write to you, little children, because your sins are forgiven you for his name's sake."
62002013,62,2,13,"I write to you, fathers, because you know him who is from the beginning. I write to you, young men, because you have overcome the evil one. I write to you, little children, because you know the Father."
62002014,62,2,14,"I have written to you, fathers, because you know him who is from the beginning. I have written to you, young men, because you are strong, and the word of God remains in you, and you have overcome the evil one."
62002015,62,2,15,"Don't love the world, neither the things that are in the world. If anyone loves the world, the Father's love isn't in him."
62002016,62,2,16,"For all that is in the world, the lust of the flesh, the lust of the eyes, and the pride of life, isn't the Father's, but is the world's."
62002017,62,2,17,"The world is passing away with its lusts, but he who does God's will remains forever."
62002018,62,2,18,"Little children, these are the end times, and as you heard that the Antichrist is coming, even now many antichrists have arisen. By this we know that it is the end times."
62002019,62,2,19,"They went out from us, but they didn't belong to us; for if they had belonged to us, they would have continued with us. But they left, that they might be revealed that none of them belong to us."
62002020,62,2,20,"You have an anointing from the Holy One, and you know the truth."
62002021,62,2,21,"I have not written to you because you don't know the truth, but because you know it, and because no lie is of the truth."
62002022,62,2,22,"Who is the liar but he who denies that Jesus is the Christ? This is the Antichrist, he who denies the Father and the Son."
62002023,62,2,23,"Whoever denies the Son, the same doesn't have the Father. He who confesses the Son has the Father also."
62002024,62,2,24,"Therefore, as for you, let that remain in you which you heard from the beginning. If that which you heard from the beginning remains in you, you also will remain in the Son, and in the Father."
62002025,62,2,25,"This is the promise which he promised us, the eternal life."
62002026,62,2,26,These things I have written to you concerning those who would lead you astray.
62002027,62,2,27,"As for you, the anointing which you received from him remains in you, and you don't need for anyone to teach you. But as his anointing teaches you concerning all things, and is true, and is no lie, and even as it taught you, you will remain in him."
62002028,62,2,28,"Now, little children, remain in him, that when he appears, we may have boldness, and not be ashamed before him at his coming."
62002029,62,2,29,"If you know that he is righteous, you know that everyone who practices righteousness is born of him."
62003001,62,3,1,"Behold, how great a love the Father has bestowed on us, that we should be called children of God! For this cause the world doesn't know us, because it didn't know him."
62003002,62,3,2,"Beloved, now we are children of God, and it is not yet revealed what we will be. But we know that, when he is revealed, we will be like him; for we will see him just as he is."
62003003,62,3,3,"Everyone who has this hope set on him purifies himself, even as he is pure."
62003004,62,3,4,Everyone who sins also commits lawlessness. Sin is lawlessness.
62003005,62,3,5,"You know that he was revealed to take away our sins, and in him is no sin."
62003006,62,3,6,"Whoever remains in him doesn't sin. Whoever sins hasn't seen him, neither knows him."
62003007,62,3,7,"Little children, let no one lead you astray. He who does righteousness is righteous, even as he is righteous."
62003008,62,3,8,"He who sins is of the devil, for the devil has been sinning from the beginning. To this end the Son of God was revealed, that he might destroy the works of the devil."
62003009,62,3,9,"Whoever is born of God doesn't commit sin, because his seed remains in him; and he can't sin, because he is born of God."
62003010,62,3,10,"In this the children of God are revealed, and the children of the devil. Whoever doesn't do righteousness is not of God, neither is he who doesn't love his brother."
62003011,62,3,11,"For this is the message which you heard from the beginning, that we should love one another;"
62003012,62,3,12,"unlike Cain, who was of the evil one, and killed his brother. Why did he kill him? Because his works were evil, and his brother's righteous."
62003013,62,3,13,"Don't be surprised, my brothers, if the world hates you."
62003014,62,3,14,"We know that we have passed out of death into life, because we love the brothers. He who doesn't love his brother remains in death."
62003015,62,3,15,"Whoever hates his brother is a murderer, and you know that no murderer has eternal life remaining in him."
62003016,62,3,16,"By this we know love, because he laid down his life for us. And we ought to lay down our lives for the brothers."
62003017,62,3,17,"But whoever has the world's goods, and sees his brother in need, and closes his heart of compassion against him, how does the love of God remain in him?"
62003018,62,3,18,"My little children, let's not love in word only, neither with the tongue only, but in deed and truth."
62003019,62,3,19,"And by this we know that we are of the truth, and persuade our hearts before him,"
62003020,62,3,20,"because if our heart condemns us, God is greater than our heart, and knows all things."
62003021,62,3,21,"Beloved, if our hearts don't condemn us, we have boldness toward God;"
62003022,62,3,22,"and whatever we ask, we receive from him, because we keep his commandments and do the things that are pleasing in his sight."
62003023,62,3,23,"This is his commandment, that we should believe in the name of his Son, Jesus Christ, and love one another, even as he commanded."
62003024,62,3,24,"He who keeps his commandments remains in him, and he in him. By this we know that he remains in us, by the Spirit which he gave us."
62004001,62,4,1,"Beloved, don't believe every spirit, but test the spirits, whether they are of God, because many false prophets have gone out into the world."
62004002,62,4,2,"By this you know the Spirit of God: every spirit who confesses that Jesus Christ has come in the flesh is of God,"
62004003,62,4,3,"and every spirit who doesn't confess that Jesus Christ has come in the flesh is not of God, and this is the spirit of the antichrist, of whom you have heard that it comes. Now it is in the world already."
62004004,62,4,4,"You are of God, little children, and have overcome them; because greater is he who is in you than he who is in the world."
62004005,62,4,5,"They are of the world. Therefore they speak of the world, and the world hears them."
62004006,62,4,6,"We are of God. He who knows God listens to us. He who is not of God doesn't listen to us. By this we know the spirit of truth, and the spirit of error."
62004007,62,4,7,"Beloved, let us love one another, for love is of God; and everyone who loves is born of God, and knows God."
62004008,62,4,8,"He who doesn't love doesn't know God, for God is love."
62004009,62,4,9,"By this was God's love revealed in us, that God has sent his one and only Son into the world that we might live through him."
62004010,62,4,10,"In this is love, not that we loved God, but that he loved us, and sent his Son as the atoning sacrifice{""atoning sacrifice"" is from the Greek ""hilasmos,"" an appeasing, propitiating, or the means of appeasement or propitiation-- the sacrifice that turns away God's wrath because of our sin.} for our sins."
62004011,62,4,11,"Beloved, if God loved us in this way, we also ought to love one another."
62004012,62,4,12,"No one has seen God at any time. If we love one another, God remains in us, and his love has been perfected in us."
62004013,62,4,13,"By this we know that we remain in him and he in us, because he has given us of his Spirit."
62004014,62,4,14,We have seen and testify that the Father has sent the Son as the Savior of the world.
62004015,62,4,15,"Whoever confesses that Jesus is the Son of God, God remains in him, and he in God."
62004016,62,4,16,"We know and have believed the love which God has for us. God is love, and he who remains in love remains in God, and God remains in him."
62004017,62,4,17,"In this love has been made perfect among us, that we may have boldness in the day of judgment, because as he is, even so are we in this world."
62004018,62,4,18,"There is no fear in love; but perfect love casts out fear, because fear has punishment. He who fears is not made perfect in love."
62004019,62,4,19,"We love Him, because he first loved us."
62004020,62,4,20,"If a man says, ""I love God,"" and hates his brother, he is a liar; for he who doesn't love his brother whom he has seen, how can he love God whom he has not seen?"
62004021,62,4,21,"This commandment we have from him, that he who loves God should also love his brother."
62005001,62,5,1,Whoever believes that Jesus is the Christ is born of God. Whoever loves the father also loves the child who is born of him.
