id,b,c,v,t
11001001,11,1,1,"Now king David was old and stricken in years; and they covered him with clothes, but he got no heat."
11001002,11,1,2,"Therefore his servants said to him, Let there be sought for my lord the king a young virgin: and let her stand before the king, and cherish him; and let her lie in your bosom, that my lord the king may keep warm."
11001003,11,1,3,"So they sought for a beautiful young lady throughout all the borders of Israel, and found Abishag the Shunammite, and brought her to the king."
11001004,11,1,4,"The young lady was very beautiful; and she cherished the king, and ministered to him; but the king didn't know her intimately."
11001005,11,1,5,"Then Adonijah the son of Haggith exalted himself, saying, I will be king: and he prepared him chariots and horsemen, and fifty men to run before him."
11001006,11,1,6,"His father had not displeased him at any time in saying, Why have you done so? and he was also a very goodly man; and he was born after Absalom."
11001007,11,1,7,"He conferred with Joab the son of Zeruiah, and with Abiathar the priest: and they following Adonijah helped him."
11001008,11,1,8,"But Zadok the priest, and Benaiah the son of Jehoiada, and Nathan the prophet, and Shimei, and Rei, and the mighty men who belonged to David, were not with Adonijah."
11001009,11,1,9,"Adonijah killed sheep and oxen and fatlings by the stone of Zoheleth, which is beside En Rogel; and he called all his brothers, the king's sons, and all the men of Judah, the king's servants:"
11001010,11,1,10,"but Nathan the prophet, and Benaiah, and the mighty men, and Solomon his brother, he didn't call."
11001011,11,1,11,"Then Nathan spoke to Bathsheba the mother of Solomon, saying, Haven't you heard that Adonijah the son of Haggith reigns, and David our lord doesn't know it?"
11001012,11,1,12,"Now therefore come, please let me give you counsel, that you may save your own life, and the life of your son Solomon."
11001013,11,1,13,"Go and get you in to king David, and tell him, Didn't you, my lord, king, swear to your handmaid, saying, Assuredly Solomon your son shall reign after me, and he shall sit on my throne? why then does Adonijah reign?"
11001014,11,1,14,"Behold, while you yet talk there with the king, I also will come in after you, and confirm your words."
11001015,11,1,15,Bathsheba went in to the king into the chamber: and the king was very old; and Abishag the Shunammite was ministering to the king.
11001016,11,1,16,"Bathsheba bowed, and did obeisance to the king. The king said, What would you?"
11001017,11,1,17,"She said to him, My lord, you swore by Yahweh your God to your handmaid, [saying], Assuredly Solomon your son shall reign after me, and he shall sit on my throne."
11001018,11,1,18,"Now, behold, Adonijah reigns; and you, my lord the king, don't know it:"
