id,b,c,v,t
60001001,60,1,1,"Peter, an apostle of Jesus Christ, to the chosen ones who are living as strangers in the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia,"
60001002,60,1,2,"according to the foreknowledge of God the Father, in sanctification of the Spirit, that you may obey Jesus Christ and be sprinkled in his blood: Grace to you and peace be multiplied."
60001003,60,1,3,"Blessed be the God and Father of our Lord Jesus Christ, who according to his great mercy became our father again to a living hope through the resurrection of Jesus Christ from the dead,"
60001004,60,1,4,"to an incorruptible and undefiled inheritance that doesn't fade away, reserved in heaven for you,"
60001005,60,1,5,who by the power of God are guarded through faith for a salvation ready to be revealed in the last time.
60001006,60,1,6,"Wherein you greatly rejoice, though now for a little while, if need be, you have been put to grief in various trials,"
60001007,60,1,7,"that the proof of your faith, which is more precious than gold that perishes even though it is tested by fire, may be found to result in praise, glory, and honor at the revelation of Jesus Christ--"
60001008,60,1,8,"whom not having known you love; in whom, though now you don't see him, yet believing, you rejoice greatly with joy unspeakable and full of glory--"
60001009,60,1,9,"receiving the result of your faith, the salvation of your souls."
60001010,60,1,10,"Concerning this salvation, the prophets sought and searched diligently, who prophesied of the grace that would come to you,"
60001011,60,1,11,"searching for who or what kind of time the Spirit of Christ, which was in them, pointed to, when he predicted the sufferings of Christ, and the glories that would follow them."
60001012,60,1,12,"To them it was revealed, that not to themselves, but to you, did they minister these things, which now have been announced to you through those who preached the Gospel to you by the Holy Spirit sent out from heaven; which things angels desire to look into."
60001013,60,1,13,"Therefore, prepare your minds for action,{Literally, ""gird up the loins of your mind""} be sober and set your hope fully on the grace that will be brought to you at the revelation of Jesus Christ--"
60001014,60,1,14,"as children of obedience, not conforming yourselves according to your former lusts as in your ignorance,"
60001015,60,1,15,"but just as he who called you is holy, you yourselves also be holy in all of your behavior;"
60001016,60,1,16,"because it is written, ""You shall be holy; for I am holy."""
60001017,60,1,17,"If you call on him as Father, who without respect of persons judges according to each man's work, pass the time of your living as strangers here in reverent fear:"
60001018,60,1,18,"knowing that you were redeemed, not with corruptible things, with silver or gold, from the useless way of life handed down from your fathers,"
60001019,60,1,19,"but with precious blood, as of a lamb without spot, the blood of Christ;"
60001020,60,1,20,"who was foreknown indeed before the foundation of the world, but was revealed at the end of times for your sake,"
60001021,60,1,21,"who through him are believers in God, who raised him from the dead, and gave him glory; so that your faith and hope might be in God."
60001022,60,1,22,"Seeing you have purified your souls in your obedience to the truth through the Spirit in sincere brotherly affection, love one another from the heart fervently:"
60001023,60,1,23,"having been born again, not of corruptible seed, but of incorruptible, through the word of God, which lives and remains forever."
60001024,60,1,24,"For, ""All flesh is like grass, And all of man's glory like the flower in the grass. The grass withers, and its flower falls;"
60001025,60,1,25,"But the Lord's word endures forever."" This is the word of good news which was preached to you."
60002001,60,2,1,"Putting away therefore all wickedness, all deceit, hypocrisies, envies, and all evil speaking,"
60002002,60,2,2,"as newborn babes, long for the pure milk of the Word, that you may grow thereby,"
60002003,60,2,3,if indeed you have tasted that the Lord is gracious:
60002004,60,2,4,"coming to him, a living stone, rejected indeed by men, but chosen by God, precious."
60002005,60,2,5,"You also, as living stones, are built up as a spiritual house, to be a holy priesthood, to offer up spiritual sacrifices, acceptable to God through Jesus Christ."
60002006,60,2,6,"Because it is contained in Scripture, ""Behold, I lay in Zion a chief cornerstone, chosen, and precious: He who believes in him will not be disappointed."""
60002007,60,2,7,"For you therefore who believe is the honor, but for such as are disobedient, ""The stone which the builders rejected, Has become the chief cornerstone,"""
60002008,60,2,8,"and, ""A stone of stumbling, and a rock of offense."" For they stumble at the word, being disobedient, whereunto also they were appointed."
60002009,60,2,9,"But you are a chosen race, a royal priesthood, a holy nation, a people for God's own possession, that you may show forth the excellencies of him who called you out of darkness into his marvelous light:"
60002010,60,2,10,"who in time past were no people, but now are God's people, who had not obtained mercy, but now have obtained mercy."
60002011,60,2,11,"Beloved, I beg you as foreigners and pilgrims, to abstain from fleshly lusts, which war against the soul;"
60002012,60,2,12,"having good behavior among the nations, so in that which they speak against you as evil-doers, they may by your good works, which they see, glorify God in the day of visitation."
60002013,60,2,13,"Therefore subject yourselves to every ordinance of man for the Lord's sake: whether to the king, as supreme;"
60002014,60,2,14,"or to governors, as sent by him for vengeance on evil-doers and for praise to those who do well."
60002015,60,2,15,"For this is the will of God, that by well-doing you should put to silence the ignorance of foolish men:"
60002016,60,2,16,"as free, and not using your freedom for a cloak of wickedness, but as bondservants of God."
60002017,60,2,17,Honor all men. Love the brotherhood. Fear God. Honor the king.
60002018,60,2,18,"Servants, be in subjection to your masters with all fear; not only to the good and gentle, but also to the wicked."
60002019,60,2,19,"For it is commendable if someone endures pain, suffering unjustly, because of conscience toward God."
60002020,60,2,20,"For what glory is it if, when you sin, you patiently endure beating? But if, when you do well, you patiently endure suffering, this is commendable with God."
60002021,60,2,21,"For to this you were called, because Christ also suffered for us, leaving you{TR reads ""us"" instead of ""you""} an example, that you should follow his steps,"
60002022,60,2,22,"who did not sin, ""neither was deceit found in his mouth."""
60002023,60,2,23,"Who, when he was cursed, didn't curse back. When he suffered, didn't threaten, but committed himself to him who judges righteously;"
60002024,60,2,24,"who his own self bore our sins in his body on the tree, that we, having died to sins, might live to righteousness; by whose stripes you were healed."
60002025,60,2,25,"For you were going astray like sheep; but are now returned to the Shepherd and Overseer{""Overseer"" is from the Greek episkopon, which can mean overseer, curator, guardian, or superintendent.} of your souls."
60003001,60,3,1,"In like manner, wives, be in subjection to your own husbands; so that, even if any don't obey the Word, they may be won by the behavior of their wives without a word;"
60003002,60,3,2,seeing your pure behavior in fear.
60003003,60,3,3,"Let your beauty be not just the outward adorning of braiding the hair, and of wearing jewels of gold, or of putting on fine clothing;"
60003004,60,3,4,"but in the hidden person of the heart, in the incorruptible adornment of a gentle and quiet spirit, which is in the sight of God very precious."
60003005,60,3,5,"For this is how the holy women before, who hoped in God, also adorned themselves, being in subjection to their own husbands:"
60003006,60,3,6,"as Sarah obeyed Abraham, calling him lord, whose children you now are, if you do well, and are not put in fear by any terror."
60003007,60,3,7,"You husbands, in like manner, live with your wives according to knowledge, giving honor to the woman, as to the weaker vessel, as being also joint heirs of the grace of life; that your prayers may not be hindered."
60003008,60,3,8,"Finally, be all like-minded, compassionate, loving as brothers, tenderhearted, courteous,"
60003009,60,3,9,"not rendering evil for evil, or reviling for reviling; but instead blessing; knowing that to this were you called, that you may inherit a blessing."
60003010,60,3,10,"For, ""He who would love life, And see good days, Let him keep his tongue from evil, And his lips from speaking deceit."
60003011,60,3,11,"Let him turn away from evil, and do good. Let him seek peace, and pursue it."
60003012,60,3,12,"For the eyes of the Lord are on the righteous, And his ears open to their prayer; But the face of the Lord is against those who do evil."""
60003013,60,3,13,"Now who is he who will harm you, if you become imitators of that which is good?"
60003014,60,3,14,"But even if you should suffer for righteousness' sake, you are blessed. ""Don't fear what they fear, neither be troubled."""
60003015,60,3,15,"But sanctify the Lord God in your hearts; and always be ready to give an answer to everyone who asks you a reason concerning the hope that is in you, with humility and fear:"
60003016,60,3,16,"having a good conscience; that, while you are spoken against as evildoers, they may be disappointed who curse your good manner of life in Christ."
60003017,60,3,17,"For it is better, if the will of God should so will, that you suffer for doing well than for doing evil."
60003018,60,3,18,"Because Christ also suffered for sins once, the righteous for the unrighteous, that he might bring you to God; being put to death in the flesh, but made alive in the spirit;"
60003019,60,3,19,"in which he also went and preached to the spirits in prison,"
60003020,60,3,20,"who before were disobedient, when God waited patiently in the days of Noah, while the ark was being built. In it, few, that is, eight souls, were saved through water."
60003021,60,3,21,"This is a symbol of baptism, which now saves you-- not the putting away of the filth of the flesh, but the answer of a good conscience toward God, through the resurrection of Jesus Christ,"
60003022,60,3,22,"who is at the right hand of God, having gone into heaven, angels and authorities and powers being made subject to him."
60004001,60,4,1,"Forasmuch then as Christ suffered for us in the flesh, arm yourselves also with the same mind; for he who has suffered in the flesh has ceased from sin;"
60004002,60,4,2,"that you no longer should live the rest of your time in the flesh for the lusts of men, but for the will of God."
60004003,60,4,3,"For we have spent enough of our past time doing the desire of the Gentiles, and having walked in lewdness, lusts, drunken binges, orgies, carousings, and abominable idolatries."
60004004,60,4,4,"They think it is strange that you don't run with them into the same excess of riot, blaspheming:"
60004005,60,4,5,who will give account to him who is ready to judge the living and the dead.
60004006,60,4,6,"For to this end was the Gospel preached even to the dead, that they might be judged indeed as men in the flesh, but live as to God in the spirit."
60004007,60,4,7,"But the end of all things is near. Therefore be of sound mind, self-controlled, and sober in prayer."
60004008,60,4,8,"And above all things be earnest in your love among yourselves, for love covers a multitude of sins."
60004009,60,4,9,Be hospitable one to another without grumbling.
60004010,60,4,10,"According as each has received a gift, be ministering it among yourselves, as good stewards of the grace of God in its various forms."
60004011,60,4,11,"If any man speaks, let it be as it were oracles of God. If any man serves, let it be as of the strength which God supplies, that in all things God may be glorified through Jesus Christ, to whom belong the glory and the dominion forever and ever. Amen."
