id,b,c,v,t
52001001,52,1,1,"Paul, Silvanus, and Timothy, to the assembly of the Thessalonians in God the Father and the Lord Jesus Christ: Grace to you and peace from God our Father and the Lord Jesus Christ."
52001002,52,1,2,"We always give thanks to God for all of you, mentioning you in our prayers,"
52001003,52,1,3,"remembering without ceasing your work of faith and labor of love and patience of hope in our Lord Jesus Christ, before our God and Father."
52001004,52,1,4,"We know, brothers{The word for ""brothers"" here and where context allows may also be correctly translated ""brothers and sisters"" or ""siblings.""} loved by God, that you are chosen,"
52001005,52,1,5,"and that our Gospel came to you not in word only, but also in power, and in the Holy Spirit, and with much assurance. You know what kind of men we showed ourselves to be among you for your sake."
52001006,52,1,6,"You became imitators of us, and of the Lord, having received the word in much affliction, with joy of the Holy Spirit,"
52001007,52,1,7,so that you became an example to all who believe in Macedonia and in Achaia.
52001008,52,1,8,"For from you has sounded forth the word of the Lord, not only in Macedonia and Achaia, but also in every place your faith toward God has gone forth; so that we need not to say anything."
52001009,52,1,9,"For they themselves report concerning us what kind of a reception we had from you; and how you turned to God from idols, to serve a living and true God,"
52001010,52,1,10,"and to wait for his Son from heaven, whom he raised from the dead-- Jesus, who delivers us from the wrath to come."
52002001,52,2,1,"For you yourselves know, brothers, our visit to you wasn't in vain,"
52002002,52,2,2,"but having suffered before and been shamefully treated, as you know, at Philippi, we grew bold in our God to tell you the Gospel of God in much conflict."
52002003,52,2,3,"For our exhortation is not of error, nor of uncleanness, nor in deception."
52002004,52,2,4,"But even as we have been approved by God to be entrusted with the Gospel, so we speak; not as pleasing men, but God, who tests our hearts."
52002005,52,2,5,"For neither were we at any time found using words of flattery, as you know, nor a cloak of covetousness (God is witness),"
52002006,52,2,6,"nor seeking glory from men (neither from you nor from others), when we might have claimed authority as apostles of Christ."
52002007,52,2,7,"But we were gentle among of you, as when a nurse cherishes her own children."
52002008,52,2,8,"Even so, affectionately longing for you, we were well pleased to impart to you, not the Gospel of God only, but also our own souls, because you had become very dear to us."
52002009,52,2,9,"For you remember, brothers, our labor and travail; for working night and day, that we might not burden any of you, we preached to you the Gospel of God."
52002010,52,2,10,"You are witnesses with God, how holy, righteously, and blamelessly we behaved ourselves toward you who believe."
52002011,52,2,11,"As you know how we exhorted, comforted, and implored every one of you, as a father does his own children,"
52002012,52,2,12,"to the end that you should walk worthily of God, who calls you into his own Kingdom and glory."
52002013,52,2,13,"For this cause we also thank God without ceasing, that, when you received from us the word of the message of God, you accepted it not as the word of men, but, as it is in truth, the word of God, which also works in you who believe."
52002014,52,2,14,"For you, brothers, became imitators of the assemblies of God which are in Judea in Christ Jesus; for you also suffered the same things from your own countrymen, even as they did from the Jews;"
52002015,52,2,15,"who killed both the Lord Jesus and their own prophets, and drove us out, and didn't please God, and are contrary to all men;"
52002016,52,2,16,forbidding us to speak to the Gentiles that they may be saved; to fill up their sins always. But wrath has come on them to the uttermost.
52002017,52,2,17,"But we, brothers, being bereaved of you for a short season, in presence, not in heart, tried even harder to see your face with great desire,"
52002018,52,2,18,"because we wanted to come to you--indeed, I, Paul, once and again-- but Satan hindered us."
52002019,52,2,19,"For what is our hope, or joy, or crown of rejoicing? Isn't it even you, before our Lord Jesus{TR adds ""Christ""} at his coming?"
52002020,52,2,20,For you are our glory and our joy.
52003001,52,3,1,"Therefore, when we couldn't stand it any longer, we thought it good to be left behind at Athens alone,"
52003002,52,3,2,"and sent Timothy, our brother and God's servant in the Gospel of Christ, to establish you, and to comfort you concerning your faith;"
52003003,52,3,3,that no one be moved by these afflictions. For you know that we are appointed to this task.
52003004,52,3,4,"For most assuredly, when we were with you, we told you beforehand that we are to suffer affliction, even as it happened, and you know."
52003005,52,3,5,"For this cause I also, when I couldn't stand it any longer, sent that I might know your faith, for fear that by any means the tempter had tempted you, and our labor would have been in vain."
52003006,52,3,6,"But when Timothy came just now to us from you, and brought us glad news of your faith and love, and that you have good memories of us always, longing to see us, even as we also long to see you;"
52003007,52,3,7,"for this cause, brothers, we were comforted over you in all our distress and affliction through your faith."
52003008,52,3,8,"For now we live, if you stand fast in the Lord."
52003009,52,3,9,"For what thanksgiving can we render again to God for you, for all the joy with which we rejoice for your sakes before our God;"
52003010,52,3,10,"night and day praying exceedingly that we may see your face, and may perfect that which is lacking in your faith?"
52003011,52,3,11,"Now may our God and Father himself, and our Lord Jesus Christ, direct our way to you;"
52003012,52,3,12,"and the Lord make you to increase and abound in love one toward another, and toward all men, even as we also do toward you,"
52003013,52,3,13,"to the end he may establish your hearts blameless in holiness before our God and Father, at the coming of our Lord Jesus with all his saints."
52004001,52,4,1,"Finally then, brothers, we beg and exhort you in the Lord Jesus, that as you received from us how you ought to walk and to please God, that you abound more and more."
52004002,52,4,2,For you know what charge we gave you through the Lord Jesus.
52004003,52,4,3,"For this is the will of God: your sanctification, that you abstain from sexual immorality,"
52004004,52,4,4,"that each one of you know how to possess himself of his own vessel in sanctification and honor,"
52004005,52,4,5,"not in the passion of lust, even as the Gentiles who don't know God;"
52004006,52,4,6,"that no one should take advantage of and wrong a brother or sister in this matter; because the Lord is an avenger in all these things, as also we forewarned you and testified."
52004007,52,4,7,"For God called us not for uncleanness, but in sanctification."
52004008,52,4,8,"Therefore he who rejects doesn't reject man, but God, who has also given his Holy Spirit to you."
52004009,52,4,9,"But concerning brotherly love, you have no need that one write to you. For you yourselves are taught by God to love one another,"
52004010,52,4,10,"for indeed you do it toward all the brothers who are in all Macedonia. But we exhort you, brothers, that you abound more and more;"
52004011,52,4,11,"and that you make it your ambition to lead a quiet life, and to do your own business, and to work with your own hands, even as we charged you;"
52004012,52,4,12,"that you may walk properly toward those who are outside, and may have need of nothing."
52004013,52,4,13,"But we don't want you to be ignorant, brothers, concerning those who have fallen asleep, so that you don't grieve like the rest, who have no hope."
52004014,52,4,14,"For if we believe that Jesus died and rose again, even so those who have fallen asleep in Jesus will God bring with him."
52004015,52,4,15,"For this we tell you by the word of the Lord, that we who are alive, who are left to the coming of the Lord, will in no way precede those who have fallen asleep."
52004016,52,4,16,"For the Lord himself will descend from heaven with a shout, with the voice of the archangel, and with God's trumpet. The dead in Christ will rise first,"
52004017,52,4,17,"then we who are alive, who are left, will be caught up together with them in the clouds, to meet the Lord in the air. So we will be with the Lord forever."
52004018,52,4,18,Therefore comfort one another with these words.
52005001,52,5,1,"But concerning the times and the seasons, brothers, you have no need that anything be written to you."
52005002,52,5,2,For you yourselves know well that the day of the Lord comes like a thief in the night.
52005003,52,5,3,"For when they are saying, ""Peace and safety,"" then sudden destruction will come on them, like birth pains on a pregnant woman; and they will in no way escape."
52005004,52,5,4,"But you, brothers, aren't in darkness, that the day should overtake you like a thief."
52005005,52,5,5,"You are all children of light, and children of the day. We don't belong to the night, nor to darkness,"
52005006,52,5,6,"so then let's not sleep, as the rest do, but let's watch and be sober."
52005007,52,5,7,"For those who sleep, sleep in the night, and those who are drunken are drunken in the night."
52005008,52,5,8,"But let us, since we belong to the day, be sober, putting on the breastplate of faith and love, and, for a helmet, the hope of salvation."
52005009,52,5,9,"For God didn't appoint us to wrath, but to the obtaining of salvation through our Lord Jesus Christ,"
52005010,52,5,10,"who died for us, that, whether we wake or sleep, we should live together with him."
52005011,52,5,11,"Therefore exhort one another, and build each other up, even as you also do."
52005012,52,5,12,"But we beg you, brothers, to know those who labor among you, and are over you in the Lord, and admonish you,"
52005013,52,5,13,and to respect and honor them in love for their work's sake. Be at peace among yourselves.
52005014,52,5,14,"We exhort you, brothers, admonish the disorderly, encourage the fainthearted, support the weak, be patient toward all."
52005015,52,5,15,"See that no one returns evil for evil to anyone, but always follow after that which is good, for one another, and for all."
52005016,52,5,16,Rejoice always.
52005017,52,5,17,Pray without ceasing.
52005018,52,5,18,"In everything give thanks, for this is the will of God in Christ Jesus toward you."
52005019,52,5,19,Don't quench the Spirit.
52005020,52,5,20,Don't despise prophesies.
52005021,52,5,21,"Test all things, and hold firmly that which is good."
52005022,52,5,22,Abstain from every form of evil.
52005023,52,5,23,"May the God of peace himself sanctify you completely. May your whole spirit, soul, and body be preserved blameless at the coming of our Lord Jesus Christ."
52005024,52,5,24,"Faithful is he who calls you, who will also do it."
52005025,52,5,25,"Brothers, pray for us."
52005026,52,5,26,Greet all the brothers with a holy kiss.
52005027,52,5,27,I solemnly charge you by the Lord that this letter be read to all the holy brothers.
52005028,52,5,28,The grace of our Lord Jesus Christ be with you. Amen.
