id,b,c,v,t
55001001,55,1,1,"Paul, an apostle of Jesus Christ through the will of God, according to the promise of the life which is in Christ Jesus,"
55001002,55,1,2,"to Timothy, my beloved child: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord."
55001003,55,1,3,"I thank God, whom I serve as my forefathers did, with a pure conscience. How unceasing is my memory of you in my petitions, night and day"
55001004,55,1,4,"longing to see you, remembering your tears, that I may be filled with joy;"
55001005,55,1,5,"having been reminded of the unfeigned faith that is in you; which lived first in your grandmother Lois, and your mother Eunice, and, I am persuaded, in you also."
55001006,55,1,6,"For this cause, I remind you that you should stir up the gift of God which is in you through the laying on of my hands."
55001007,55,1,7,"For God didn't give us a spirit of fear, but of power, love, and self-control."
55001008,55,1,8,"Therefore don't be ashamed of the testimony of our Lord, nor of me his prisoner; but endure hardship for the Gospel according to the power of God,"
55001009,55,1,9,"who saved us and called us with a holy calling, not according to our works, but according to his own purpose and grace, which was given to us in Christ Jesus before times eternal,"
55001010,55,1,10,"but has now been revealed by the appearing of our Savior, Christ Jesus, who abolished death, and brought life and immortality to light through the Gospel."
55001011,55,1,11,"For this, I was appointed as a preacher, an apostle, and a teacher of the Gentiles."
55001012,55,1,12,"For this cause I suffer also these things. Yet I am not ashamed, for I know him whom I have believed, and I am persuaded that he is able to guard that which I have committed to him against that day."
55001013,55,1,13,"Hold the pattern of sound words which you have heard from me, in faith and love which is in Christ Jesus."
55001014,55,1,14,"That good thing which was committed to you, guard through the Holy Spirit who dwells in us."
55001015,55,1,15,"This you know, that all who are in Asia turned away from me; of whom are Phygelus and Hermogenes."
55001016,55,1,16,"May the Lord grant mercy to the house of Onesiphorus, for he often refreshed me, and was not ashamed of my chain,"
55001017,55,1,17,"but when he was in Rome, he sought me diligently, and found me"
55001018,55,1,18,"(the Lord grant to him to find the Lord's mercy in that day); and in how many things he served at Ephesus, you know very well."
55002001,55,2,1,"You therefore, my child, be strengthened in the grace that is in Christ Jesus."
55002002,55,2,2,"The things which you have heard from me among many witnesses, commit the same to faithful men, who will be able to teach others also."
55002003,55,2,3,"You therefore must endure hardship, as a good soldier of Christ Jesus."
55002004,55,2,4,"No soldier on service entangles himself in the affairs of life, that he may please him who enrolled him as a soldier."
