id,b,c,v,t
49001001,49,1,1,"Paul, an apostle of Christ Jesus through the will of God, to the saints who are at Ephesus, and the faithful in Christ Jesus:"
49001002,49,1,2,Grace to you and peace from God our Father and the Lord Jesus Christ.
49001003,49,1,3,"Blessed be the God and Father of our Lord Jesus Christ, who has blessed us with every spiritual blessing in the heavenly places in Christ;"
49001004,49,1,4,"even as he chose us in him before the foundation of the world, that we would be holy and without blemish before him in love;"
49001005,49,1,5,"having predestined us for adoption as children through Jesus Christ to himself, according to the good pleasure of his desire,"
49001006,49,1,6,"to the praise of the glory of his grace, by which he freely bestowed favor on us in the Beloved,"
49001007,49,1,7,"in whom we have our redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace,"
49001008,49,1,8,"which he made to abound toward us in all wisdom and prudence,"
49001009,49,1,9,"making known to us the mystery of his will, according to his good pleasure which he purposed in him"
49001010,49,1,10,"to an administration of the fullness of the times, to sum up all things in Christ, the things in the heavens, and the things on the earth, in him;"
49001011,49,1,11,"in whom also we were assigned an inheritance, having been foreordained according to the purpose of him who works all things after the counsel of his will;"
49001012,49,1,12,"to the end that we should be to the praise of his glory, we who had before hoped in Christ:"
49001013,49,1,13,"in whom you also, having heard the word of the truth, the Gospel of your salvation,--in whom, having also believed, you were sealed with the Holy Spirit of promise,"
49001014,49,1,14,"who is a pledge of our inheritance, to the redemption of God's own possession, to the praise of his glory."
49001015,49,1,15,"For this cause I also, having heard of the faith in the Lord Jesus which is among you, and the love which you have toward all the saints,"
49001016,49,1,16,"don't cease to give thanks for you, making mention of you in my prayers,"
49001017,49,1,17,"that the God of our Lord Jesus Christ, the Father of glory, may give to you a spirit of wisdom and revelation in the knowledge of him;"
49001018,49,1,18,"having the eyes of your hearts{TR reads ""understanding"" instead of ""hearts""} enlightened, that you may know what is the hope of his calling, and what are the riches of the glory of his inheritance in the saints,"
49001019,49,1,19,"and what is the exceeding greatness of his power toward us who believe, according to that working of the strength of his might"
49001020,49,1,20,"which he worked in Christ, when he raised him from the dead, and made him to sit at his right hand in the heavenly places,"
49001021,49,1,21,"far above all rule, and authority, and power, and dominion, and every name that is named, not only in this age, but also in that which is to come."
49001022,49,1,22,"He put all things in subjection under his feet, and gave him to be head over all things for the assembly,"
49001023,49,1,23,"which is his body, the fullness of him who fills all in all."
49002001,49,2,1,"You were made alive when you were dead in transgressions and sins,"
49002002,49,2,2,"in which you once walked according to the course of this world, according to the prince of the powers of the air, the spirit who now works in the children of disobedience;"
49002003,49,2,3,"among whom we also all once lived in the lust of our flesh, doing the desires of the flesh and of the mind, and were by nature children of wrath, even as the rest."
49002004,49,2,4,"But God, being rich in mercy, for his great love with which he loved us,"
49002005,49,2,5,"even when we were dead through our trespasses, made us alive together with Christ (by grace you have been saved),"
49002006,49,2,6,"and raised us up with him, and made us to sit with him in the heavenly places in Christ Jesus,"
49002007,49,2,7,that in the ages to come he might show the exceeding riches of his grace in kindness toward us in Christ Jesus;
49002008,49,2,8,"for by grace you have been saved through faith, and that not of yourselves; it is the gift of God,"
49002009,49,2,9,"not of works, that no one would boast."
49002010,49,2,10,"For we are his workmanship, created in Christ Jesus for good works, which God prepared before that we would walk in them."
49002011,49,2,11,"Therefore remember that once you, the Gentiles in the flesh, who are called ""uncircumcision"" by that which is called ""circumcision,"" (in the flesh, made by hands);"
49002012,49,2,12,"that you were at that time separate from Christ, alienated from the commonwealth of Israel, and strangers from the covenants of the promise, having no hope and without God in the world."
49002013,49,2,13,But now in Christ Jesus you who once were far off are made near in the blood of Christ.
49002014,49,2,14,"For he is our peace, who made both one, and broke down the middle wall of partition,"
49002015,49,2,15,"having abolished in the flesh the hostility, the law of commandments contained in ordinances, that he might create in himself one new man of the two, making peace;"
49002016,49,2,16,"and might reconcile them both in one body to God through the cross, having killed the hostility thereby."
49002017,49,2,17,He came and preached peace to you who were far off and to those who were near.
49002018,49,2,18,For through him we both have our access in one Spirit to the Father.
49002019,49,2,19,"So then you are no longer strangers and foreigners, but you are fellow citizens with the saints, and of the household of God,"
49002020,49,2,20,"being built on the foundation of the apostles and prophets, Christ Jesus himself being the chief cornerstone;"
49002021,49,2,21,"in whom the whole building, fitted together, grows into a holy temple in the Lord;"
49002022,49,2,22,in whom you also are built together for a habitation of God in the Spirit.
49003001,49,3,1,"For this cause I, Paul, am the prisoner of Christ Jesus on behalf of you Gentiles,"
49003002,49,3,2,if it is so that you have heard of the administration of that grace of God which was given me toward you;
49003003,49,3,3,"how that by revelation the mystery was made known to me, as I wrote before in few words,"
49003004,49,3,4,"by which, when you read, you can perceive my understanding in the mystery of Christ;"
49003005,49,3,5,"which in other generations was not made known to the children of men, as it has now been revealed to his holy apostles and prophets in the Spirit;"
49003006,49,3,6,"that the Gentiles are fellow heirs, and fellow members of the body, and fellow partakers of his promise in Christ Jesus through the Gospel,"
49003007,49,3,7,"of which I was made a servant, according to the gift of that grace of God which was given me according to the working of his power."
49003008,49,3,8,"To me, the very least of all saints, was this grace given, to preach to the Gentiles the unsearchable riches of Christ,"
49003009,49,3,9,"and to make all men see what is the administration{TR reads ""fellowship"" instead of ""administration""} of the mystery which for ages has been hidden in God, who created all things through Jesus Christ;"
49003010,49,3,10,"to the intent that now through the assembly the manifold wisdom of God might be made known to the principalities and the powers in the heavenly places,"
49003011,49,3,11,according to the eternal purpose which he purposed in Christ Jesus our Lord;
49003012,49,3,12,in whom we have boldness and access in confidence through our faith in him.
49003013,49,3,13,"Therefore I ask that you may not lose heart at my troubles for you, which are your glory."
49003014,49,3,14,"For this cause, I bow my knees to the Father of our Lord Jesus Christ,"
49003015,49,3,15,"from whom every family in heaven and on earth is named,"
49003016,49,3,16,"that he would grant you, according to the riches of his glory, that you may be strengthened with power through his Spirit in the inward man;"
49003017,49,3,17,"that Christ may dwell in your hearts through faith; to the end that you, being rooted and grounded in love,"
49003018,49,3,18,"may be strengthened to comprehend with all the saints what is the breadth and length and height and depth,"
49003019,49,3,19,"and to know Christ's love which surpasses knowledge, that you may be filled with all the fullness of God."
49003020,49,3,20,"Now to him who is able to do exceedingly abundantly above all that we ask or think, according to the power that works in us,"
49003021,49,3,21,to him be the glory in the assembly and in Christ Jesus to all generations forever and ever. Amen.
49004001,49,4,1,"I therefore, the prisoner in the Lord, beg you to walk worthily of the calling with which you were called,"
49004002,49,4,2,"with all lowliness and humility, with patience, bearing with one another in love;"
49004003,49,4,3,being eager to keep the unity of the Spirit in the bond of peace.
49004004,49,4,4,"There is one body, and one Spirit, even as you also were called in one hope of your calling;"
49004005,49,4,5,"one Lord, one faith, one baptism,"
