id,b,c,v,t
2001001,2,1,1,"Now these are the names of the sons of Israel, who came into Egypt (every man and his household came with Jacob):"
2001002,2,1,2,"Reuben, Simeon, Levi, and Judah,"
2001003,2,1,3,"Issachar, Zebulun, and Benjamin,"
2001004,2,1,4,"Dan and Naphtali, Gad and Asher."
2001005,2,1,5,"All the souls who came out of the Jacob's body were seventy souls, and Joseph was in Egypt already."
2001006,2,1,6,"Joseph died, as did all his brothers, and all that generation."
2001007,2,1,7,"The children of Israel were fruitful, and increased abundantly, and multiplied, and grew exceedingly mighty; and the land was filled with them."
2001008,2,1,8,"Now there arose a new king over Egypt, who didn't know Joseph."
2001009,2,1,9,"He said to his people, ""Behold, the people of the children of Israel are more and mightier than we."
2001010,2,1,10,"Come, let us deal wisely with them, lest they multiply, and it happen that when any war breaks out, they also join themselves to our enemies, and fight against us, and escape out of the land."""
2001011,2,1,11,Therefore they set taskmasters over them to afflict them with their burdens. They built storage cities for Pharaoh: Pithom and Raamses.
2001012,2,1,12,"But the more they afflicted them, the more they multiplied and the more they spread out. They were grieved because of the children of Israel."
2001013,2,1,13,"The Egyptians ruthlessly made the children of Israel serve,"
2001014,2,1,14,"and they made their lives bitter with hard service, in mortar and in brick, and in all manner of service in the field, all their service, in which they ruthlessly made them serve."
2001015,2,1,15,"The king of Egypt spoke to the Hebrew midwives, of whom the name of the one was Shiphrah, and the name of the other Puah,"
2001016,2,1,16,"and he said, ""When you perform the duty of a midwife to the Hebrew women, and see them on the birth stool; if it is a son, then you shall kill him; but if it is a daughter, then she shall live."""
2001017,2,1,17,"But the midwives feared God, and didn't do what the king of Egypt commanded them, but saved the baby boys alive."
2001018,2,1,18,"The king of Egypt called for the midwives, and said to them, ""Why have you done this thing, and have saved the men-children alive?"""
2001019,2,1,19,"The midwives said to Pharaoh, ""Because the Hebrew women aren't like the Egyptian women; for they are vigorous, and give birth before the midwife comes to them."""
2001020,2,1,20,"God dealt well with the midwives, and the people multiplied, and grew very mighty."
2001021,2,1,21,"It happened, because the midwives feared God, that he gave them families."
2001022,2,1,22,"Pharaoh charged all his people, saying, ""You shall cast every son who is born into the river, and every daughter you shall save alive."""
2002001,2,2,1,A man of the house of Levi went and took a daughter of Levi as his wife.
2002002,2,2,2,"The woman conceived, and bore a son. When she saw that he was a fine child, she hid him three months."
2002003,2,2,3,"When she could no longer hide him, she took a papyrus basket for him, and coated it with tar and with pitch. She put the child in it, and laid it in the reeds by the river's bank."
2002004,2,2,4,"His sister stood far off, to see what would be done to him."
2002005,2,2,5,"Pharaoh's daughter came down to bathe at the river. Her maidens walked along by the riverside. She saw the basket among the reeds, and sent her handmaid to get it."
2002006,2,2,6,"She opened it, and saw the child, and, behold, the baby cried. She had compassion on him, and said, ""This is one of the Hebrews' children."""
2002007,2,2,7,"Then his sister said to Pharaoh's daughter, ""Should I go and call a nurse for you from the Hebrew women, that she may nurse the child for you?"""
2002008,2,2,8,"Pharaoh's daughter said to her, ""Go."" The maiden went and called the child's mother."
2002009,2,2,9,"Pharaoh's daughter said to her, ""Take this child away, and nurse him for me, and I will give you your wages."" The woman took the child, and nursed it."
2002010,2,2,10,"The child grew, and she brought him to Pharaoh's daughter, and he became her son. She named him Moses,{""Moses"" sounds like the Hebrew for ""draw out"".} and said, ""Because I drew him out of the water."""
2002011,2,2,11,"It happened in those days, when Moses had grown up, that he went out to his brothers, and looked at their burdens. He saw an Egyptian striking a Hebrew, one of his brothers."
2002012,2,2,12,"He looked this way and that way, and when he saw that there was no one, he killed the Egyptian, and hid him in the sand."
2002013,2,2,13,"He went out the second day, and, behold, two men of the Hebrews were fighting with each other. He said to him who did the wrong, ""Why do you strike your fellow?"""
2002014,2,2,14,"He said, ""Who made you a prince and a judge over us? Do you plan to kill me, as you killed the Egyptian?"" Moses was afraid, and said, ""Surely this thing is known."""
2002015,2,2,15,"Now when Pharaoh heard this thing, he sought to kill Moses. But Moses fled from the face of Pharaoh, and lived in the land of Midian, and he sat down by a well."
2002016,2,2,16,"Now the priest of Midian had seven daughters. They came and drew water, and filled the troughs to water their father's flock."
2002017,2,2,17,"The shepherds came and drove them away; but Moses stood up and helped them, and watered their flock."
2002018,2,2,18,"When they came to Reuel, their father, he said, ""How is it that you have returned so early today?"""
2002019,2,2,19,"They said, ""An Egyptian delivered us out of the hand of the shepherds, and moreover he drew water for us, and watered the flock."""
2002020,2,2,20,"He said to his daughters, ""Where is he? Why is it that you have left the man? Call him, that he may eat bread."""
2002021,2,2,21,"Moses was content to dwell with the man. He gave Moses Zipporah, his daughter."
2002022,2,2,22,"She bore a son, and he named him Gershom,{""Gershom"" sounds like the Hebrew for ""an alien there.""} for he said, ""I have lived as a foreigner in a foreign land."""
2002023,2,2,23,"It happened in the course of those many days, that the king of Egypt died, and the children of Israel sighed because of the bondage, and they cried, and their cry came up to God because of the bondage."
2002024,2,2,24,"God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob."
2002025,2,2,25,"God saw the children of Israel, and God was concerned about them."
2003001,2,3,1,"Now Moses was keeping the flock of Jethro, his father-in-law, the priest of Midian, and he led the flock to the back of the wilderness, and came to God's mountain, to Horeb."
2003002,2,3,2,"The angel of Yahweh appeared to him in a flame of fire out of the midst of a bush. He looked, and behold, the bush burned with fire, and the bush was not consumed."
2003003,2,3,3,"Moses said, I will turn aside now, and see this great sight, why the bush is not burnt."
2003004,2,3,4,"When Yahweh saw that he turned aside to see, God called to him out of the midst of the bush, and said, ""Moses! Moses!"" He said, ""Here I am."""
2003005,2,3,5,"He said, ""Don't come close. Take off your sandals from off your feet, for the place you are standing on is holy ground."""
2003006,2,3,6,"Moreover he said, ""I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob."" Moses hid his face; for he was afraid to look at God."
2003007,2,3,7,"Yahweh said, ""I have surely seen the affliction of my people who are in Egypt, and have heard their cry because of their taskmasters, for I know their sorrows."
2003008,2,3,8,"I have come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land to a good and large land, to a land flowing with milk and honey; to the place of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite."
2003009,2,3,9,"Now, behold, the cry of the children of Israel has come to me. Moreover I have seen the oppression with which the Egyptians oppress them."
2003010,2,3,10,"Come now therefore, and I will send you to Pharaoh, that you may bring forth my people, the children of Israel, out of Egypt."""
2003011,2,3,11,"Moses said to God, ""Who am I, that I should go to Pharaoh, and that I should bring forth the children of Israel out of Egypt?"""
2003012,2,3,12,"He said, ""Certainly I will be with you. This will be the token to you, that I have sent you: when you have brought forth the people out of Egypt, you shall serve God on this mountain."""
2003013,2,3,13,"Moses said to God, ""Behold, when I come to the children of Israel, and tell them, 'The God of your fathers has sent me to you;' and they ask me, 'What is his name?' What should I tell them?"""
2003014,2,3,14,"God said to Moses, ""I AM WHO I AM,"" and he said, ""You shall tell the children of Israel this: ""I AM has sent me to you."""
2003015,2,3,15,"God said moreover to Moses, ""You shall tell the children of Israel this, 'Yahweh, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has sent me to you.' This is my name forever, and this is my memorial to all generations."
2003016,2,3,16,"Go, and gather the elders of Israel together, and tell them, 'Yahweh, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has appeared to me, saying, ""I have surely visited you, and seen that which is done to you in Egypt;"
2003017,2,3,17,"and I have said, I will bring you up out of the affliction of Egypt to the land of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite, to a land flowing with milk and honey.""'"
2003018,2,3,18,"They will listen to your voice, and you shall come, you and the elders of Israel, to the king of Egypt, and you shall tell him, 'Yahweh, the God of the Hebrews, has met with us. Now please let us go three days' journey into the wilderness, that we may sacrifice to Yahweh, our God.'"
2003019,2,3,19,"I know that the king of Egypt won't give you permission to go, no, not by a mighty hand."
2003020,2,3,20,"I will put forth my hand and strike Egypt with all my wonders which I will do in the midst of it, and after that he will let you go."
2003021,2,3,21,"I will give this people favor in the sight of the Egyptians, and it will happen that when you go, you shall not go empty-handed."
2003022,2,3,22,"But every woman shall ask of her neighbor, and of her who visits her house, jewels of silver, jewels of gold, and clothing; and you shall put them on your sons, and on your daughters. You shall despoil the Egyptians."
2004001,2,4,1,"Moses answered, ""But, behold, they will not believe me, nor listen to my voice; for they will say, 'Yahweh has not appeared to you.'"""
2004002,2,4,2,"Yahweh said to him, ""What is that in your hand?"" He said, ""A rod."""
2004003,2,4,3,"He said, ""Throw it on the ground."" He threw it on the ground, and it became a snake; and Moses ran away from it."
2004004,2,4,4,"Yahweh said to Moses, ""Put forth your hand, and take it by the tail."" He put forth his hand, and laid hold of it, and it became a rod in his hand."
2004005,2,4,5,"""That they may believe that Yahweh, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has appeared to you."""
2004006,2,4,6,"Yahweh said furthermore to him, ""Now put your hand inside your cloak."" He put his hand inside his cloak, and when he took it out, behold, his hand was leprous, as white as snow."
2004007,2,4,7,"He said, ""Put your hand inside your cloak again."" He put his hand inside his cloak again, and when he took it out of his cloak, behold, it had turned again as his other flesh."
2004008,2,4,8,"""It will happen, if they will neither believe you nor listen to the voice of the first sign, that they will believe the voice of the latter sign."
2004009,2,4,9,"It will happen, if they will not believe even these two signs, neither listen to your voice, that you shall take of the water of the river, and pour it on the dry land. The water which you take out of the river will become blood on the dry land."""
