id,b,c,v,t
15001001,15,1,1,"Now in the first year of Cyrus king of Persia, that the word of Yahweh by the mouth of Jeremiah might be accomplished, Yahweh stirred up the spirit of Cyrus king of Persia, so that he made a proclamation throughout all his kingdom, and [put it] also in writing, saying,"
15001002,15,1,2,"Thus says Cyrus king of Persia, All the kingdoms of the earth has Yahweh, the God of heaven, given me; and he has charged me to build him a house in Jerusalem, which is in Judah."
15001003,15,1,3,"Whoever there is among you of all his people, his God be with him, and let him go up to Jerusalem, which is in Judah, and build the house of Yahweh, the God of Israel (he is God), which is in Jerusalem."
15001004,15,1,4,"Whoever is left, in any place where he sojourns, let the men of his place help him with silver, and with gold, and with goods, and with animals, besides the freewill-offering for the house of God which is in Jerusalem."
15001005,15,1,5,"Then rose up the heads of fathers' [houses] of Judah and Benjamin, and the priests, and the Levites, even all whose spirit God had stirred to go up to build the house of Yahweh which is in Jerusalem."
15001006,15,1,6,"All those who were round about them strengthened their hands with vessels of silver, with gold, with goods, and with animals, and with precious things, besides all that was willingly offered."
15001007,15,1,7,"Also Cyrus the king brought forth the vessels of the house of Yahweh, which Nebuchadnezzar had brought forth out of Jerusalem, and had put in the house of his gods;"
15001008,15,1,8,"even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them to Sheshbazzar, the prince of Judah."
15001009,15,1,9,"This is the number of them: thirty platters of gold, one thousand platters of silver, twenty-nine knives,"
15001010,15,1,10,"thirty bowls of gold, silver bowls of a second sort four hundred and ten, and other vessels one thousand."
15001011,15,1,11,"All the vessels of gold and of silver were five thousand and four hundred. All these did Sheshbazzar bring up, when they of the captivity were brought up from Babylon to Jerusalem."
15002001,15,2,1,"Now these are the children of the province, who went up out of the captivity of those who had been carried away, whom Nebuchadnezzar the king of Babylon had carried away to Babylon, and who returned to Jerusalem and Judah, everyone to his city;"
15002002,15,2,2,"who came with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:"
15002003,15,2,3,"The children of Parosh, two thousand one hundred seventy-two."
15002004,15,2,4,"The children of Shephatiah, three hundred seventy-two."
15002005,15,2,5,"The children of Arah, seven hundred seventy-five."
15002006,15,2,6,"The children of Pahath-moab, of the children of Jeshua [and] Joab, two thousand eight hundred twelve."
15002007,15,2,7,"The children of Elam, one thousand two hundred fifty-four."
15002008,15,2,8,"The children of Zattu, nine hundred forty-five."
15002009,15,2,9,"The children of Zaccai, seven hundred sixty."
15002010,15,2,10,"The children of Bani, six hundred forty-two."
15002011,15,2,11,"The children of Bebai, six hundred twenty-three."
15002012,15,2,12,"The children of Azgad, one thousand two hundred twenty-two."
15002013,15,2,13,"The children of Adonikam, six hundred sixty-six."
15002014,15,2,14,"The children of Bigvai, two thousand fifty-six."
15002015,15,2,15,"The children of Adin, four hundred fifty-four."
15002016,15,2,16,"The children of Ater, of Hezekiah, ninety-eight."
15002017,15,2,17,"The children of Bezai, three hundred twenty-three."
15002018,15,2,18,"The children of Jorah, one hundred twelve."
15002019,15,2,19,"The children of Hashum, two hundred Twenty-three."
15002020,15,2,20,"The children of Gibbar, ninety-five."
15002021,15,2,21,"The children of Bethlehem, one hundred twenty-three."
15002022,15,2,22,"The men of Netophah, fifty-six."
15002023,15,2,23,"The men of Anathoth, one hundred twenty-eight."
15002024,15,2,24,"The children of Azmaveth, forty-two."
15002025,15,2,25,"The children of Kiriath Arim, Chephirah, and Beeroth, seven hundred forty-three."
15002026,15,2,26,"The children of Ramah and Geba, six hundred twenty-one."
15002027,15,2,27,"The men of Michmas, one hundred twenty-two."
15002028,15,2,28,"The men of Bethel and Ai, two hundred twenty-three."
15002029,15,2,29,"The children of Nebo, fifty-two."
15002030,15,2,30,"The children of Magbish, one hundred fifty-six."
15002031,15,2,31,"The children of the other Elam, one thousand two hundred fifty-four."
15002032,15,2,32,"The children of Harim, three hundred twenty."
15002033,15,2,33,"The children of Lod, Hadid, and Ono, seven hundred twenty-five."
15002034,15,2,34,"The children of Jericho, three hundred forty-five."
15002035,15,2,35,"The children of Senaah, three thousand six hundred thirty."
15002036,15,2,36,"The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy-three."
15002037,15,2,37,"The children of Immer, one thousand fifty-two."
15002038,15,2,38,"The children of Pashhur, one thousand two hundred forty-seven."
15002039,15,2,39,"The children of Harim, one thousand seventeen."
15002040,15,2,40,"The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy-four."
15002041,15,2,41,"The singers: the children of Asaph, one hundred twenty-eight."
15002042,15,2,42,"The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all one hundred thirty-nine."
15002043,15,2,43,"The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,"
15002044,15,2,44,"the children of Keros, the children of Siaha, the children of Padon,"
15002045,15,2,45,"the children of Lebanah, the children of Hagabah, the children of Akkub,"
15002046,15,2,46,"the children of Hagab, the children of Shamlai, the children of Hanan,"
15002047,15,2,47,"the children of Giddel, the children of Gahar, the children of Reaiah,"
15002048,15,2,48,"the children of Rezin, the children of Nekoda, the children of Gazzam,"
15002049,15,2,49,"the children of Uzza, the children of Paseah, the children of Besai,"
15002050,15,2,50,"the children of Asnah, the children of Meunim, the children of Nephisim,"
15002051,15,2,51,"the children of Bakbuk, the children of Hakupha, the children of Harhur,"
15002052,15,2,52,"the children of Bazluth, the children of Mehida, the children of Harsha,"
15002053,15,2,53,"the children of Barkos, the children of Sisera, the children of Temah,"
15002054,15,2,54,"the children of Neziah, the children of Hatipha."
15002055,15,2,55,"The children of Solomon's servants: the children of Sotai, the children of Hassophereth, the children of Peruda,"
15002056,15,2,56,"the children of Jaalah, the children of Darkon, the children of Giddel,"
15002057,15,2,57,"the children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Ami."
15002058,15,2,58,"All the Nethinim, and the children of Solomon's servants, were three hundred ninety-two."
15002059,15,2,59,"These were those who went up from Tel-melah, Tel Harsha, Cherub, Addan, [and] Immer; but they could not show their fathers' houses, and their seed, whether they were of Israel:"
15002060,15,2,60,"the children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred fifty-two."
15002061,15,2,61,"Of the children of the priests: the children of Habaiah, the children of Hakkoz, the children of Barzillai, who took a wife of the daughters of Barzillai the Gileadite, and was called after their name."
15002062,15,2,62,"These sought their register [among] those who were reckoned by genealogy, but they were not found: therefore were they deemed polluted and put from the priesthood."
15002063,15,2,63,"The governor said to them, that they should not eat of the most holy things, until there stood up a priest with Urim and with Thummim."
15002064,15,2,64,"The whole assembly together was forty-two thousand three hundred sixty,"
15002065,15,2,65,"besides their men-servants and their maid-servants, of whom there were seven thousand three hundred thirty-seven: and they had two hundred singing men and singing women."
15002066,15,2,66,"Their horses were seven hundred thirty-six; their mules, two hundred forty-five;"
15002067,15,2,67,"their camels, four hundred thirty-five; [their] donkeys, six thousand seven hundred and twenty."
15002068,15,2,68,"Some of the heads of fathers' [houses], when they came to the house of Yahweh which is in Jerusalem, offered willingly for the house of God to set it up in its place:"
15002069,15,2,69,"they gave after their ability into the treasury of the work sixty-one thousand darics of gold, and five thousand minas of silver, and one hundred priests' garments."
15002070,15,2,70,"So the priests, and the Levites, and some of the people, and the singers, and the porters, and the Nethinim, lived in their cities, and all Israel in their cities."
15003001,15,3,1,"When the seventh month was come, and the children of Israel were in the cities, the people gathered themselves together as one man to Jerusalem."
15003002,15,3,2,"Then stood up Jeshua the son of Jozadak, and his brothers the priests, and Zerubbabel the son of Shealtiel, and his brothers, and built the altar of the God of Israel, to offer burnt offerings thereon, as it is written in the law of Moses the man of God."
15003003,15,3,3,"They set the altar on its base; for fear was on them because of the peoples of the countries: and they offered burnt offerings thereon to Yahweh, even burnt offerings morning and evening."
15003004,15,3,4,"They kept the feast of tents, as it is written, and [offered] the daily burnt offerings by number, according to the ordinance, as the duty of every day required;"
15003005,15,3,5,"and afterward the continual burnt-offering, and [the offerings] of the new moons, and of all the set feasts of Yahweh that were consecrated, and of everyone who willingly offered a freewill-offering to Yahweh."
15003006,15,3,6,From the first day of the seventh month began they to offer burnt offerings to Yahweh: but the foundation of the temple of Yahweh was not yet laid.
15003007,15,3,7,"They gave money also to the masons, and to the carpenters; and food, and drink, and oil, to them of Sidon, and to them of Tyre, to bring cedar trees from Lebanon to the sea, to Joppa, according to the grant that they had of Cyrus king of Persia."
15003008,15,3,8,"Now in the second year of their coming to the house of God at Jerusalem, in the second month, began Zerubbabel the son of Shealtiel, and Jeshua the son of Jozadak, and the rest of their brothers the priests and the Levites, and all those who were come out of the captivity to Jerusalem, and appointed the Levites, from twenty years old and upward, to have the oversight of the work of the house of Yahweh."
15003009,15,3,9,"Then stood Jeshua with his sons and his brothers, Kadmiel and his sons, the sons of Judah, together, to have the oversight of the workmen in the house of God: the sons of Henadad, with their sons and their brothers the Levites."
15003010,15,3,10,"When the builders laid the foundation of the temple of Yahweh, they set the priests in their clothing with trumpets, and the Levites the sons of Asaph with cymbals, to praise Yahweh, after the order of David king of Israel."
15003011,15,3,11,"They sang one to another in praising and giving thanks to Yahweh, [saying], For he is good, for his loving kindness endures forever toward Israel. All the people shouted with a great shout, when they praised Yahweh, because the foundation of the house of Yahweh was laid."
15003012,15,3,12,"But many of the priests and Levites and heads of fathers' [houses], the old men who had seen the first house, when the foundation of this house was laid before their eyes, wept with a loud voice; and many shouted aloud for joy:"
15003013,15,3,13,"so that the people could not discern the noise of the shout of joy from the noise of the weeping of the people; for the people shouted with a loud shout, and the noise was heard afar off."
15004001,15,4,1,"Now when the adversaries of Judah and Benjamin heard that the children of the captivity were building a temple to Yahweh, the God of Israel;"
15004002,15,4,2,"then they drew near to Zerubbabel, and to the heads of fathers' [houses], and said to them, Let us build with you; for we seek your God, as you do; and we sacrifice to him since the days of Esar Haddon king of Assyria, who brought us up here."
15004003,15,4,3,"But Zerubbabel, and Jeshua, and the rest of the heads of fathers' [houses] of Israel, said to them, You have nothing to do with us in building a house to our God; but we ourselves together will build to Yahweh, the God of Israel, as king Cyrus the king of Persia has commanded us."
15004004,15,4,4,"Then the people of the land weakened the hands of the people of Judah, and troubled them in building,"
