id,b,c,v,t
48001001,48,1,1,"Paul, an apostle (not from men, neither through man, but through Jesus Christ, and God the Father, who raised him from the dead),"
48001002,48,1,2,"and all the brothers{The word for ""brothers"" here and where context allows may also be correctly translated ""brothers and sisters"" or ""siblings.""} who are with me, to the assemblies of Galatia:"
48001003,48,1,3,"Grace to you and peace from God the Father, and our Lord Jesus Christ,"
48001004,48,1,4,"who gave himself for our sins, that he might deliver us out of this present evil age, according to the will of our God and Father--"
48001005,48,1,5,to whom be the glory forever and ever. Amen.
48001006,48,1,6,I marvel that you are so quickly deserting him who called you in the grace of Christ to a different gospel;
48001007,48,1,7,"and there isn't another gospel. Only there are some who trouble you, and want to pervert the Gospel of Christ."
48001008,48,1,8,"But even though we, or an angel from heaven, should preach to you any gospel other than that which we preached to you, let him be cursed."
48001009,48,1,9,"As we have said before, so I now say again: if any man preaches to you any gospel other than that which you received, let him be cursed."
48001010,48,1,10,"For am I now seeking the favor of men, or of God? Or am I striving to please men? For if I were still pleasing men, I wouldn't be a servant of Christ."
48001011,48,1,11,"But I make known to you, brothers, concerning the Gospel which was preached by me, that it is not according to man."
48001012,48,1,12,"For neither did I receive it from man, nor was I taught it, but it came to me through revelation of Jesus Christ."
48001013,48,1,13,"For you have heard of my way of living in time past in the Jews' religion, how that beyond measure I persecuted the assembly of God, and ravaged it."
48001014,48,1,14,"I advanced in the Jews' religion beyond many of my own age among my countrymen, being more exceedingly zealous for the traditions of my fathers."
48001015,48,1,15,"But when it was the good pleasure of God, who separated me from my mother's womb, and called me through his grace,"
48001016,48,1,16,"to reveal his Son in me, that I might preach him among the Gentiles, I didn't immediately confer with flesh and blood,"
48001017,48,1,17,"nor did I go up to Jerusalem to those who were apostles before me, but I went away into Arabia. Then I returned to Damascus."
48001018,48,1,18,"Then after three years I went up to Jerusalem to visit Peter, and stayed with him fifteen days."
48001019,48,1,19,"But of the other apostles I saw no one, except James, the Lord's brother."
48001020,48,1,20,"Now about the things which I write to you, behold, before God, I'm not lying."
48001021,48,1,21,Then I came to the regions of Syria and Cilicia.
48001022,48,1,22,"I was still unknown by face to the assemblies of Judea which were in Christ,"
48001023,48,1,23,"but they only heard: ""He who once persecuted us now preaches the faith that he once tried to destroy."""
48001024,48,1,24,And they glorified God in me.
48002001,48,2,1,"Then after a period of fourteen years I went up again to Jerusalem with Barnabas, taking Titus also with me."
48002002,48,2,2,"I went up by revelation, and I laid before them the Gospel which I preach among the Gentiles, but privately before those who were respected, for fear that I might be running, or had run, in vain."
48002003,48,2,3,"But not even Titus, who was with me, being a Greek, was compelled to be circumcised."
48002004,48,2,4,"This was because of the false brothers secretly brought in, who stole in to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage;"
48002005,48,2,5,"to whom we gave no place in the way of subjection, not for an hour, that the truth of the Gospel might continue with you."
48002006,48,2,6,"But from those who were reputed to be important (whatever they were, it makes no difference to me; God doesn't show partiality to man)--they, I say, who were respected imparted nothing to me,"
48002007,48,2,7,"but to the contrary, when they saw that I had been entrusted with the Gospel for the uncircumcision, even as Peter with the Gospel for the circumcision"
48002008,48,2,8,(for he who appointed Peter to the apostleship of the circumcision appointed me also to the Gentiles);
48002009,48,2,9,"and when they perceived the grace that was given to me, James and Cephas and John, they who were reputed to be pillars, gave to me and Barnabas the right hand of fellowship, that we should go to the Gentiles, and they to the circumcision."
48002010,48,2,10,They only asked us to remember the poor--which very thing I was also zealous to do.
48002011,48,2,11,"But when Peter came to Antioch, I resisted him to the face, because he stood condemned."
48002012,48,2,12,"For before some people came from James, he ate with the Gentiles. But when they came, he drew back and separated himself, fearing those who were of the circumcision."
48002013,48,2,13,And the rest of the Jews joined him in his hypocrisy; so that even Barnabas was carried away with their hypocrisy.
48002014,48,2,14,"But when I saw that they didn't walk uprightly according to the truth of the Gospel, I said to Peter before them all, ""If you, being a Jew, live as the Gentiles do, and not as the Jews do, why do you compel the Gentiles to live as the Jews do?"
48002015,48,2,15,"""We, being Jews by nature, and not Gentile sinners,"
48002016,48,2,16,"yet knowing that a man is not justified by the works of the law but through the faith of Jesus Christ, even we believed in Christ Jesus, that we might be justified by faith in Christ, and not by the works of the law, because no flesh will be justified by the works of the law."
48002017,48,2,17,"But if, while we sought to be justified in Christ, we ourselves also were found sinners, is Christ a servant of sin? Certainly not!"
48002018,48,2,18,"For if I build up again those things which I destroyed, I prove myself a law-breaker."
48002019,48,2,19,"For I, through the law, died to the law, that I might live to God."
48002020,48,2,20,"I have been crucified with Christ, and it is no longer I that live, but Christ living in me. That life which I now live in the flesh, I live by faith in the Son of God, who loved me, and gave himself up for me."
48002021,48,2,21,"I don't make void the grace of God. For if righteousness is through the law, then Christ died for nothing!"""
48003001,48,3,1,"Foolish Galatians, who has bewitched you not to obey the truth, before whose eyes Jesus Christ was openly set forth among you as crucified?"
48003002,48,3,2,"I just want to learn this from you. Did you receive the Spirit by the works of the law, or by hearing of faith?"
48003003,48,3,3,"Are you so foolish? Having begun in the Spirit, are you now completed in the flesh?"
48003004,48,3,4,"Did you suffer so many things in vain, if it is indeed in vain?"
48003005,48,3,5,"He therefore who supplies the Spirit to you, and works miracles among you, does he do it by the works of the law, or by hearing of faith?"
48003006,48,3,6,"Even as Abraham ""believed God, and it was counted to him for righteousness."""
48003007,48,3,7,"Know therefore that those who are of faith, the same are children of Abraham."
48003008,48,3,8,"The Scripture, foreseeing that God would justify the Gentiles by faith, preached the Gospel beforehand to Abraham, saying, ""In you all the nations will be blessed."""
48003009,48,3,9,"So then, those who are of faith are blessed with the faithful Abraham."
48003010,48,3,10,"For as many as are of the works of the law are under a curse. For it is written, ""Cursed is everyone who doesn't continue in all things that are written in the book of the law, to do them."""
48003011,48,3,11,"Now that no man is justified by the law before God is evident, for, ""The righteous will live by faith."""
48003012,48,3,12,"The law is not of faith, but, ""The man who does them will live by them."""
48003013,48,3,13,"Christ redeemed us from the curse of the law, having become a curse for us. For it is written, ""Cursed is everyone who hangs on a tree,"""
48003014,48,3,14,that the blessing of Abraham might come on the Gentiles through Christ Jesus; that we might receive the promise of the Spirit through faith.
