id,b,c,v,t
59001001,59,1,1,"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are in the Dispersion: Greetings."
59001002,59,1,2,"Count it all joy, my brothers{The word for ""brothers"" here and where context allows may also be correctly translated ""brothers and sisters"" or ""siblings.""}, when you fall into various temptations,"
59001003,59,1,3,knowing that the testing of your faith produces endurance.
59001004,59,1,4,"Let endurance have its perfect work, that you may be perfect and complete, lacking in nothing."
59001005,59,1,5,"But if any of you lacks wisdom, let him ask of God, who gives to all liberally and without reproach; and it will be given to him."
59001006,59,1,6,"But let him ask in faith, without any doubting, for he who doubts is like a wave of the sea, driven by the wind and tossed."
59001007,59,1,7,For let that man not think that he will receive anything from the Lord.
59001008,59,1,8,"He is a double-minded man, unstable in all his ways."
59001009,59,1,9,But let the brother in humble circumstances glory in his high position;
59001010,59,1,10,"and the rich, in that he is made humble, because like the flower in the grass, he will pass away."
59001011,59,1,11,"For the sun arises with the scorching wind, and withers the grass, and the flower in it falls, and the beauty of its appearance perishes. So also will the rich man fade away in his pursuits."
59001012,59,1,12,"Blessed is the man who endures temptation, for when he has been approved, he will receive the crown of life, which the Lord promised to those who love him."
59001013,59,1,13,"Let no man say when he is tempted, ""I am tempted by God,"" for God can't be tempted by evil, and he himself tempts no one."
59001014,59,1,14,"But each one is tempted, when he is drawn away by his own lust, and enticed."
59001015,59,1,15,"Then the lust, when it has conceived, bears sin; and the sin, when it is full grown, brings forth death."
59001016,59,1,16,"Don't be deceived, my beloved brothers."
59001017,59,1,17,"Every good gift and every perfect gift is from above, coming down from the Father of lights, with whom can be no variation, nor turning shadow."
59001018,59,1,18,"Of his own will he brought us forth by the word of truth, that we should be a kind of first fruits of his creatures."
59001019,59,1,19,"So, then, my beloved brothers, let every man be swift to hear, slow to speak, and slow to anger;"
59001020,59,1,20,for the anger of man doesn't produce the righteousness of God.
59001021,59,1,21,"Therefore, putting away all filthiness and overflowing of wickedness, receive with humility the implanted word, which is able to save your souls{or, preserve your life.}."
59001022,59,1,22,"But be doers of the word, and not only hearers, deluding your own selves."
59001023,59,1,23,"For if anyone is a hearer of the word and not a doer, he is like a man beholding his natural face in a mirror;"
59001024,59,1,24,"for he sees himself, and goes away, and immediately forgets what kind of man he was."
59001025,59,1,25,"But he who looks into the perfect law, the law of freedom, and continues, not being a hearer who forgets but a doer of the work, this man will be blessed in what he does."
59001026,59,1,26,"If anyone among you thinks himself to be religious while he doesn't bridle his tongue, but deceives his heart, this man's religion is worthless."
59001027,59,1,27,"Pure religion and undefiled before our God and Father is this: to visit the fatherless and widows in their affliction, and to keep oneself unstained by the world."
59002001,59,2,1,"My brothers, don't hold the faith of our Lord Jesus Christ of glory with partiality."
59002002,59,2,2,"For if a man with a gold ring, in fine clothing, comes into your assembly, and a poor man in filthy clothing also comes in;"
59002003,59,2,3,"and you pay special attention to him who wears the fine clothing, and say, ""Sit here in a good place;"" and you tell the poor man, ""Stand there,"" or ""Sit by my footstool;"""
59002004,59,2,4,"haven't you shown partiality among yourselves, and become judges with evil thoughts?"
59002005,59,2,5,"Listen, my beloved brothers. Didn't God choose those who are poor in this world to be rich in faith, and heirs of the Kingdom which he promised to those who love him?"
59002006,59,2,6,"But you have dishonored the poor man. Don't the rich oppress you, and personally drag you before the courts?"
59002007,59,2,7,Don't they blaspheme the honorable name by which you are called?
59002008,59,2,8,"However, if you fulfill the royal law, according to the Scripture, ""You shall love your neighbor as yourself,"" you do well."
59002009,59,2,9,"But if you show partiality, you commit sin, being convicted by the law as transgressors."
59002010,59,2,10,"For whoever shall keep the whole law, and yet stumble in one point, he has become guilty of all."
59002011,59,2,11,"For he who said, ""Do not commit adultery,"" said also, ""Do not commit murder."" Now if you do not commit adultery, but murder, you have become a transgressor of the law."
59002012,59,2,12,"So speak, and so do, as men who are to be judged by a law of freedom."
