id,b,c,v,t
29001001,29,1,1,"The Word of Yahweh that came to Joel, the son of Pethuel."
29001002,29,1,2,"Hear this, you elders, And listen, all you inhabitants of the land. Has this ever happened in your days, Or in the days of your fathers?"
29001003,29,1,3,"Tell your children about it, And have your children tell their children, And their children, another generation."
29001004,29,1,4,"What the swarming locust has left, the great locust has eaten. What the great locust has left, the grasshopper has eaten. What the grasshopper has left, the caterpillar has eaten."
29001005,29,1,5,"Wake up, you drunkards, and weep! Wail, all you drinkers of wine, because of the sweet wine; For it is cut off from your mouth."
29001006,29,1,6,"For a nation has come up on my land, strong, and without number. His teeth are the teeth of a lion, And he has the fangs of a lioness."
29001007,29,1,7,"He has laid my vine waste, And stripped my fig tree. He has stripped its bark, and thrown it away. Its branches are made white."
29001008,29,1,8,Mourn like a virgin dressed in sackcloth for the husband of her youth!
29001009,29,1,9,"The meal offering and the drink offering are cut off from Yahweh's house. The priests, Yahweh's ministers, mourn."
29001010,29,1,10,"The field is laid waste. The land mourns, for the grain is destroyed, The new wine has dried up, And the oil languishes."
29001011,29,1,11,"Be confounded, you farmers! Wail, you vineyard keepers; For the wheat and for the barley; For the harvest of the field has perished."
29001012,29,1,12,"The vine has dried up, and the fig tree withered; the pomegranate tree, the palm tree also, and the apple tree, Even all of the trees of the field are withered; For joy has withered away from the sons of men."
29001013,29,1,13,"Put on sackcloth and mourn, you priests! Wail, you ministers of the altar. Come, lie all night in sackcloth, you ministers of my God, For the meal offering and the drink offering are withheld from your God's house."
29001014,29,1,14,"Sanctify a fast. Call a solemn assembly. Gather the elders, And all the inhabitants of the land, to the house of Yahweh, your God, And cry to Yahweh."
29001015,29,1,15,"Alas for the day! For the day of Yahweh is at hand, And it will come as destruction from the Almighty."
29001016,29,1,16,Isn't the food cut off before our eyes; Joy and gladness from the house of our God?
29001017,29,1,17,"The seeds rot under their clods. The granaries are laid desolate. The barns are broken down, for the grain has withered."
29001018,29,1,18,"How the animals groan! The herds of cattle are perplexed, because they have no pasture. Yes, the flocks of sheep are made desolate."
29001019,29,1,19,"Yahweh, I cry to you, For the fire has devoured the pastures of the wilderness, And the flame has burned all the trees of the field."
29001020,29,1,20,"Yes, the animals of the field pant to you, For the water brooks have dried up, And the fire has devoured the pastures of the wilderness."
29002001,29,2,1,"Blow you the trumpet in Zion, And sound an alarm in my holy mountain! Let all the inhabitants of the land tremble, For the day of Yahweh comes, For it is close at hand:"
29002002,29,2,2,"A day of darkness and gloominess, A day of clouds and thick darkness. As the dawn spreading on the mountains, A great and strong people; There has never been the like, Neither will there be any more after them, Even to the years of many generations."
29002003,29,2,3,"A fire devours before them, And behind them, a flame burns. The land is as the garden of Eden before them, And behind them, a desolate wilderness. Yes, and no one has escaped them."
29002004,29,2,4,"The appearance of them is as the appearance of horses, And as horsemen, so do they run."
29002005,29,2,5,"Like the noise of chariots on the tops of the mountains do they leap, Like the noise of a flame of fire that devours the stubble, As a strong people set in battle array."
29002006,29,2,6,At their presence the peoples are in anguish. All faces have grown pale.
29002007,29,2,7,"They run like mighty men. They climb the wall like warriors. They each march in his line, and they don't swerve off course."
29002008,29,2,8,"Neither does one jostle another; They march everyone in his path, And they burst through the defenses, And don't break ranks."
29002009,29,2,9,They rush on the city. They run on the wall. They climb up into the houses. They enter in at the windows like thieves.
29002010,29,2,10,"The earth quakes before them. The heavens tremble. The sun and the moon are darkened, And the stars withdraw their shining."
29002011,29,2,11,"Yahweh thunders his voice before his army; For his forces are very great; For he is strong who obeys his command; For the day of Yahweh is great and very awesome, And who can endure it?"
29002012,29,2,12,"""Yet even now,"" says Yahweh, ""turn to me with all your heart, And with fasting, and with weeping, and with mourning."""
29002013,29,2,13,"Tear your heart, and not your garments, And turn to Yahweh, your God; For he is gracious and merciful, Slow to anger, and abundant in loving kindness, And relents from sending calamity."
29002014,29,2,14,"Who knows? He may turn and relent, And leave a blessing behind him, Even a meal offering and a drink offering to Yahweh, your God."
29002015,29,2,15,Blow the trumpet in Zion! Sanctify a fast. Call a solemn assembly.
29002016,29,2,16,"Gather the people. Sanctify the assembly. Assemble the elders. Gather the children, and those who suck the breasts. Let the bridegroom go forth from his room, And the bride out of her chamber."
29002017,29,2,17,"Let the priests, the ministers of Yahweh, weep between the porch and the altar, And let them say, ""Spare your people, Yahweh, And don't give your heritage to reproach, That the nations should rule over them. Why should they say among the peoples, 'Where is their God?'"""
29002018,29,2,18,"Then Yahweh was jealous for his land, And had pity on his people."
29002019,29,2,19,"Yahweh answered his people, ""Behold, I will send you grain, new wine, and oil, And you will be satisfied with them; And I will no more make you a reproach among the nations."
29002020,29,2,20,"But I will remove the northern army far away from you, And will drive it into a barren and desolate land, Its front into the eastern sea, And its back into the western sea; And its stench will come up, And its bad smell will rise."" Surely he has done great things."
29002021,29,2,21,"Land, don't be afraid. Be glad and rejoice, for Yahweh has done great things."
29002022,29,2,22,"Don't be afraid, you animals of the field; For the pastures of the wilderness spring up, For the tree bears its fruit. The fig tree and the vine yield their strength."
29002023,29,2,23,"""Be glad then, you children of Zion, And rejoice in Yahweh, your God; For he gives you the former rain in just measure, And he causes the rain to come down for you, The former rain and the latter rain, As before."
29002024,29,2,24,"The threshing floors will be full of wheat, And the vats will overflow with new wine and oil."
29002025,29,2,25,"I will restore to you the years that the swarming locust has eaten, The great locust, the grasshopper, and the caterpillar, My great army, which I sent among you."
29002026,29,2,26,"You will have plenty to eat, and be satisfied, And will praise the name of Yahweh, your God, Who has dealt wondrously with you; And my people will never again be disappointed."
29002027,29,2,27,"You will know that I am in the midst of Israel, And that I am Yahweh, your God, and there is no one else; And my people will never again be disappointed."
29002028,29,2,28,"""It will happen afterward, that I will pour out my Spirit on all flesh; And your sons and your daughters will prophesy. Your old men will dream dreams. Your young men will see visions."
29002029,29,2,29,"And also on the servants and on the handmaids in those days, I will pour out my Spirit."
29002030,29,2,30,"I will show wonders in the heavens and in the earth: Blood, fire, and pillars of smoke."
29002031,29,2,31,"The sun will be turned into darkness, And the moon into blood, Before the great and terrible day of Yahweh comes."
29002032,29,2,32,"It will happen that whoever will call on the name of Yahweh shall be saved; For in Mount Zion and in Jerusalem there will be those who escape, As Yahweh has said, And among the remnant, those whom Yahweh calls."
29003001,29,3,1,"""For, behold, in those days, And in that time, When I restore the fortunes of Judah and Jerusalem,"
29003002,29,3,2,"I will gather all nations, And will bring them down into the valley of Jehoshaphat; And I will execute judgment on them there for my people, And for my heritage, Israel, whom they have scattered among the nations. They have divided my land,"
29003003,29,3,3,"And have cast lots for my people, And have given a boy for a prostitute, And sold a girl for wine, that they may drink."
29003004,29,3,4,"""Yes, and what are you to me, Tyre, and Sidon, And all the regions of Philistia? Will you repay me? And if you repay me, I will swiftly and speedily return your repayment on your own head."
29003005,29,3,5,"Because you have taken my silver and my gold, And have carried my finest treasures into your temples,"
29003006,29,3,6,"And have sold the children of Judah and the children of Jerusalem to the sons of the Greeks, That you may remove them far from their border."
