id,b,c,v,t
32001001,32,1,1,"Now the word of Yahweh came to Jonah the son of Amittai, saying,"
32001002,32,1,2,"""Arise, go to Nineveh, that great city, and preach against it, for their wickedness has come up before me."""
32001003,32,1,3,"But Jonah rose up to flee to Tarshish from the presence of Yahweh. He went down to Joppa, and found a ship going to Tarshish; so he paid its fare, and went down into it, to go with them to Tarshish from the presence of Yahweh."
32001004,32,1,4,"But Yahweh sent out a great wind on the sea, and there was a mighty tempest on the sea, so that the ship was likely to break up."
32001005,32,1,5,"Then the mariners were afraid, and cried every man to his god. They threw the cargo that was in the ship into the sea, to lighten it. But Jonah had gone down into the innermost parts of the ship, and he was laying down, and was fast asleep."
32001006,32,1,6,"So the shipmaster came to him, and said to him, ""What do you mean, sleeper? Arise, call on your gods! Maybe the gods will notice us, so that we won't perish."""
32001007,32,1,7,"They all said to each other, ""Come, let us cast lots, that we may know for whose cause this evil is on us."" So they cast lots, and the lot fell on Jonah."
32001008,32,1,8,"Then they asked him, ""Tell us, please, for whose cause this evil is on us. What is your occupation? Where do you come from? What is your country? Of what people are you?"""
32001009,32,1,9,"He said to them, ""I am a Hebrew, and I fear Yahweh, the God of heaven, who has made the sea and the dry land."""
32001010,32,1,10,"Then were the men exceedingly afraid, and said to him, ""What is this that you have done?"" For the men knew that he was fleeing from the presence of Yahweh, because he had told them."
32001011,32,1,11,"Then said they to him, ""What shall we do to you, that the sea may be calm to us?"" For the sea grew more and more tempestuous."
32001012,32,1,12,"He said to them, ""Take me up, and throw me into the sea. Then the sea will be calm for you; for I know that because of me this great tempest is on you."""
32001013,32,1,13,"Nevertheless the men rowed hard to get them back to the land; but they could not, for the sea grew more and more tempestuous against them."
32001014,32,1,14,"Therefore they cried to Yahweh, and said, ""We beg you, Yahweh, we beg you, let us not perish for this man's life, and don't lay on us innocent blood; for you, Yahweh, have done as it pleased you."""
32001015,32,1,15,"So they took up Jonah, and threw him into the sea; and the sea ceased its raging."
32001016,32,1,16,"Then the men feared Yahweh exceedingly; and they offered a sacrifice to Yahweh, and made vows."
32001017,32,1,17,"Yahweh prepared a great fish to swallow up Jonah, and Jonah was in the belly of the fish three days and three nights."
32002001,32,2,1,"Then Jonah prayed to Yahweh, his God, out of the fish's belly."
32002002,32,2,2,"He said, ""I called because of my affliction to Yahweh. He answered me. Out of the belly of Sheol I cried. You heard my voice."
32002003,32,2,3,"For you threw me into the depths, In the heart of the seas. The flood was all around me. All your waves and your billows passed over me."
32002004,32,2,4,"I said, 'I have been banished from your sight; Yet I will look again toward your holy temple.'"
32002005,32,2,5,"The waters surrounded me, Even to the soul. The deep was around me. The weeds were wrapped around my head."
32002006,32,2,6,"I went down to the bottoms of the mountains. The earth barred me in forever: Yet have you brought up my life from the pit, Yahweh my God."
32002007,32,2,7,"""When my soul fainted within me, I remembered Yahweh. My prayer came in to you, into your holy temple."
32002008,32,2,8,Those who regard lying vanities forsake their own mercy.
32002009,32,2,9,"But I will sacrifice to you with the voice of thanksgiving. I will pay that which I have vowed. Salvation belongs to Yahweh."""
32002010,32,2,10,"Yahweh spoke to the fish, and it vomited out Jonah on the dry land."
32003001,32,3,1,"The word of Yahweh came to Jonah the second time, saying,"
32003002,32,3,2,"""Arise, go to Nineveh, that great city, and preach to it the message that I give you."""
32003003,32,3,3,"So Jonah arose, and went to Nineveh, according to the word of Yahweh. Now Nineveh was an exceedingly great city, three days' journey across."
32003004,32,3,4,"Jonah began to enter into the city a day's journey, and he cried out, and said, ""Yet forty days, and Nineveh shall be overthrown!"""
32003005,32,3,5,"The people of Nineveh believed God; and they proclaimed a fast, and put on sackcloth, from the greatest of them even to the least of them."
32003006,32,3,6,"The news reached the king of Nineveh, and he arose from his throne, and took off his royal robe, covered himself with sackcloth, and sat in ashes."
32003007,32,3,7,"He made a proclamation and published through Nineveh by the decree of the king and his nobles, saying, ""Let neither man nor animal, herd nor flock, taste anything; let them not feed, nor drink water;"
32003008,32,3,8,"but let them be covered with sackcloth, both man and animal, and let them cry mightily to God. Yes, let them turn everyone from his evil way, and from the violence that is in his hands."
32003009,32,3,9,"Who knows whether God will not turn and repent, and turn away from his fierce anger, so that we might not perish?"""
32003010,32,3,10,"God saw their works, that they turned from their evil way. God repented of the evil which he said he would do to them, and he didn't do it."
32004001,32,4,1,"But it displeased Jonah exceedingly, and he was angry."
32004002,32,4,2,"He prayed to Yahweh, and said, ""Please, Yahweh, wasn't this what I said when I was still in my own country? Therefore I hurried to flee to Tarshish, for I knew that you are a gracious God, and merciful, slow to anger, and abundant in loving kindness, and you repent of the evil."
32004003,32,4,3,"Therefore now, Yahweh, take, I beg you, my life from me; for it is better for me to die than to live."""
32004004,32,4,4,"Yahweh said, ""Is it right for you to be angry?"""
32004005,32,4,5,"Then Jonah went out of the city, and sat on the east side of the city, and there made himself a booth, and sat under it in the shade, until he might see what would become of the city."
32004006,32,4,6,"Yahweh God prepared a vine, and made it to come up over Jonah, that it might be a shade over his head, to deliver him from his discomfort. So Jonah was exceedingly glad because of the vine."
32004007,32,4,7,"But God prepared a worm at dawn the next day, and it chewed on the vine, so that it withered."
32004008,32,4,8,"It happened, when the sun arose, that God prepared a sultry east wind; and the sun beat on Jonah's head, so that he fainted, and requested for himself that he might die, and said, ""It is better for me to die than to live."""
