id,b,c,v,t
41001001,41,1,1,"The beginning of the Gospel of Jesus Christ, the Son of God."
41001002,41,1,2,"As it is written in the prophets, ""Behold, I send my messenger before your face, Who will prepare your way before you."
41001003,41,1,3,"The voice of one crying in the wilderness, 'Make ready the way of the Lord! Make his paths straight!'"""
41001004,41,1,4,"John came baptizing{To baptize means to immerse in (or wash with) water (or fire). This baptizm is not just to cleanse the body, but as an outward sign of an inward spiritual cleansing and commitment.} in the wilderness and preaching the baptism of repentance for forgiveness of sins."
41001005,41,1,5,"All the country of Judea and all those of Jerusalem went out to him. They were baptized by him in the Jordan river, confessing their sins."
41001006,41,1,6,John was clothed with camel's hair and a leather belt around his loins. He ate locusts and wild honey.
41001007,41,1,7,"He preached, saying, ""After me comes he who is mightier than I, the thong of whose sandals I am not worthy to stoop down and loosen."
41001008,41,1,8,"I baptized you in{The Greek word (en) translated here as ""in"" could also be translated as ""with"" in some contexts.} water, but he will baptize you in the Holy Spirit."""
41001009,41,1,9,"It happened in those days, that Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan."
41001010,41,1,10,"Immediately coming up from the water, he saw the heavens parting, and the Spirit descending on him like a dove."
41001011,41,1,11,"A voice came out of the sky, ""You are my beloved Son, in whom I am well pleased."""
41001012,41,1,12,Immediately the Spirit drove him out into the wilderness.
41001013,41,1,13,He was there in the wilderness forty days tempted by Satan. He was with the wild animals; and the angels were ministering to him.
41001014,41,1,14,"Now after John was taken into custody, Jesus came into Galilee, preaching the Gospel of the Kingdom of God,"
41001015,41,1,15,"and saying, ""The time is fulfilled, and the Kingdom of God is at hand! Repent, and believe in the Gospel."""
41001016,41,1,16,"Passing along by the sea of Galilee, he saw Simon and Andrew the brother of Simon casting a net in the sea, for they were fishermen."
41001017,41,1,17,"Jesus said to them, ""Come after me, and I will make you into fishers for men."""
41001018,41,1,18,"Immediately they left their nets, and followed him."
41001019,41,1,19,"Going on a little further from there, he saw James the son of Zebedee, and John, his brother, who were also in the boat mending the nets."
41001020,41,1,20,"Immediately he called them, and they left their father, Zebedee, in the boat with the hired servants, and went after him."
41001021,41,1,21,"They went into Capernaum, and immediately on the Sabbath day he entered into the synagogue and taught."
41001022,41,1,22,"They were astonished at his teaching, for he taught them as having authority, and not as the scribes."
41001023,41,1,23,"Immediately there was in their synagogue a man with an unclean spirit, and he cried out,"
41001024,41,1,24,"saying, ""Ha! What do we have to do with you, Jesus, you Nazarene? Have you come to destroy us? I know you who you are: the Holy One of God!"""
41001025,41,1,25,"Jesus rebuked him, saying, ""Be quiet, and come out of him!"""
41001026,41,1,26,"The unclean spirit, convulsing him and crying with a loud voice, came out of him."
41001027,41,1,27,"They were all amazed, so that they questioned among themselves, saying, ""What is this? A new teaching? For with authority he commands even the unclean spirits, and they obey him!"""
41001028,41,1,28,The report of him went out immediately everywhere into all the region of Galilee and its surrounding area.
41001029,41,1,29,"Immediately, when they had come out of the synagogue, they came into the house of Simon and Andrew, with James and John."
41001030,41,1,30,"Now Simon's wife's mother lay sick with a fever, and immediately they told him about her."
