id,b,c,v,t
50001001,50,1,1,"Paul and Timothy, servants of Jesus Christ; To all the saints in Christ Jesus who are at Philippi, with the overseers{The word translated ""overseers"" (episkopos) can also be translated superintendents, guardians, curators, or bishops.} and deacons{Or, servants}:"
50001002,50,1,2,"Grace to you, and peace from God, our Father, and the Lord Jesus Christ."
50001003,50,1,3,"I thank my God whenever I remember you,"
50001004,50,1,4,"always in every request of mine on behalf of you all making my requests with joy,"
50001005,50,1,5,"for your partnership{The word translated ""partnership"" (koinonia) also means ""fellowship"" and ""sharing.""} in furtherance of the Gospel from the first day until now;"
50001006,50,1,6,"being confident of this very thing, that he who began a good work in you will complete it until the day of Jesus Christ."
50001007,50,1,7,"It is even right for me to think this way on behalf of all of you, because I have you in my heart, because, both in my bonds and in the defense and confirmation of the Gospel, you all are partakers with me of grace."
50001008,50,1,8,"For God is my witness, how I long after all of you in the tender mercies of Christ Jesus."
50001009,50,1,9,"This I pray, that your love may abound yet more and more in knowledge and all discernment;"
50001010,50,1,10,so that you may approve the things that are excellent; that you may be sincere and without offense to the day of Christ;
50001011,50,1,11,"being filled with the fruits of righteousness, which are through Jesus Christ, to the glory and praise of God."
50001012,50,1,12,"Now I desire to have you know, brothers,{The word for ""brothers"" here and where context allows may also be correctly translated ""brothers and sisters"" or ""siblings.""} that the things which happened to me have turned out rather to the progress of the Gospel;"
50001013,50,1,13,"so that it became evident to the whole praetorian guard, and to all the rest, that my bonds are in Christ;"
50001014,50,1,14,"and that most of the brothers in the Lord, being confident through my bonds, are more abundantly bold to speak the word of God without fear."
50001015,50,1,15,"Some indeed preach Christ even out of envy and strife, and some also out of good will."
50001016,50,1,16,"The former insincerly preach Christ from selfish ambition, thinking that they add affliction to my chains;"
50001017,50,1,17,"but the latter out of love, knowing that I am appointed for the defense of the Gospel."
50001018,50,1,18,"What does it matter? Only that in every way, whether in pretense or in truth, Christ is proclaimed. I rejoice in this, yes, and will rejoice."
50001019,50,1,19,"For I know that this will turn out to my salvation, through your supplication and the supply of the Spirit of Jesus Christ,"
50001020,50,1,20,"according to my earnest expectation and hope, that I will in no way be disappointed, but with all boldness, as always, now also Christ will be magnified in my body, whether by life, or by death."
50001021,50,1,21,"For to me to live is Christ, and to die is gain."
50001022,50,1,22,"But if I live on in the flesh, this will bring fruit from my work; yet I don't make known what I will choose."
50001023,50,1,23,"But I am in a dilemma between the two, having the desire to depart and be with Christ, which is far better."
50001024,50,1,24,"Yet, to remain in the flesh is more needful for your sake."
50001025,50,1,25,"Having this confidence, I know that I will remain, yes, and remain with you all, for your progress and joy in the faith,"
50001026,50,1,26,that your rejoicing may abound in Christ Jesus in me through my presence with you again.
50001027,50,1,27,"Only let your manner of life be worthy of the Gospel of Christ, that, whether I come and see you or am absent, I may hear of your state, that you stand firm in one spirit, with one soul striving for the faith of the Gospel;"
50001028,50,1,28,"and in nothing frightened by the adversaries, which is for them a proof of destruction, but to you of salvation, and that from God."
50001029,50,1,29,"Because it has been granted to you on behalf of Christ, not only to believe in him, but also to suffer on his behalf,"
50001030,50,1,30,"having the same conflict which you saw in me, and now hear is in me."
50002001,50,2,1,"If there is therefore any exhortation in Christ, if any consolation of love, if any fellowship of the Spirit, if any tender mercies and compassion,"
50002002,50,2,2,"make my joy full, by being like-minded, having the same love, being of one accord, of one mind;"
50002003,50,2,3,"doing nothing through rivalry or through conceit, but in humility, each counting others better than himself;"
50002004,50,2,4,"each of you not just looking to his own things, but each of you also to the things of others."
50002005,50,2,5,"Have this in your mind, which was also in Christ Jesus,"
50002006,50,2,6,"who, existing in the form of God, didn't consider it robbery to be equal with God,"
50002007,50,2,7,"but emptied himself, taking the form of a servant, being made in the likeness of men."
50002008,50,2,8,"And being found in human form, he humbled himself, becoming obedient to death, yes, the death of the cross."
50002009,50,2,9,"Therefore God also highly exalted him, and gave to him the name which is above every name;"
50002010,50,2,10,"that at the name of Jesus every knee should bow, of those in heaven, those on earth, and those under the earth,"
50002011,50,2,11,"and that every tongue should confess that Jesus Christ is Lord, to the glory of God the Father."
50002012,50,2,12,"So then, my beloved, even as you have always obeyed, not only in my presence, but now much more in my absence, work out your own salvation with fear and trembling."
50002013,50,2,13,"For it is God who works in you both to will and to work, for his good pleasure."
50002014,50,2,14,"Do all things without murmurings and disputes,"
50002015,50,2,15,"that you may become blameless and harmless, children of God without blemish in the midst of a crooked and perverse generation, among whom you are seen as lights in the world,"
50002016,50,2,16,"holding up the word of life; that I may have something to boast in the day of Christ, that I didn't run in vain nor labor in vain."
50002017,50,2,17,"Yes, and if I am poured out on the sacrifice and service of your faith, I rejoice, and rejoice with you all."
50002018,50,2,18,"In the same way, you also rejoice, and rejoice with me."
50002019,50,2,19,"But I hope in the Lord Jesus to send Timothy to you soon, that I also may be cheered up when I know how you are doing."
50002020,50,2,20,"For I have no one else like-minded, who will truly care about you."
50002021,50,2,21,"For they all seek their own, not the things of Jesus Christ."
50002022,50,2,22,"But you know the proof of him, that, as a child serves a father, so he served with me in furtherance of the Gospel."
50002023,50,2,23,"Therefore I hope to send him at once, as soon as I see how it will go with me."
50002024,50,2,24,But I trust in the Lord that I myself also will come shortly.
50002025,50,2,25,"But I counted it necessary to send to you Epaphroditus, my brother, fellow worker, fellow soldier, and your apostle and minister to my need;"
50002026,50,2,26,"since he longed for you all, and was very troubled, because you had heard that he was sick."
50002027,50,2,27,"For indeed he was sick, nearly to death, but God had mercy on him; and not on him only, but on me also, that I might not have sorrow on sorrow."
50002028,50,2,28,"I have sent him therefore the more diligently, that, when you see him again, you may rejoice, and that I may be the less sorrowful."
50002029,50,2,29,"Receive him therefore in the Lord with all joy, and hold such in honor,"
50002030,50,2,30,"because for the work of Christ he came near to death, risking his life to supply that which was lacking in your service toward me."
50003001,50,3,1,"Finally, my brothers, rejoice in the Lord. To write the same things to you, to me indeed is not tiresome, but for you it is safe."
50003002,50,3,2,"Beware of the dogs, beware of the evil workers, beware of the false circumcision."
50003003,50,3,3,"For we are the circumcision, who worship God in the Spirit, and rejoice in Christ Jesus, and have no confidence in the flesh;"
50003004,50,3,4,"though I myself might have confidence even in the flesh. If any other man thinks that he has confidence in the flesh, I yet more:"
50003005,50,3,5,"circumcised the eighth day, of the stock of Israel, of the tribe of Benjamin, a Hebrew of Hebrews; concerning the law, a Pharisee;"
50003006,50,3,6,"concerning zeal, persecuting the assembly; concerning the righteousness which is in the law, found blameless."
50003007,50,3,7,"However, what things were gain to me, these have I counted loss for Christ."
50003008,50,3,8,"Yes most assuredly, and I count all things to be loss for the excellency of the knowledge of Christ Jesus, my Lord, for whom I suffered the loss of all things, and count them nothing but refuse, that I may gain Christ"
50003009,50,3,9,"and be found in him, not having a righteousness of my own, that which is of the law, but that which is through faith in Christ, the righteousness which is from God by faith;"
50003010,50,3,10,"that I may know him, and the power of his resurrection, and the fellowship of his sufferings, becoming conformed to his death;"
50003011,50,3,11,if by any means I may attain to the resurrection from the dead.
50003012,50,3,12,"Not that I have already obtained, or am already made perfect; but I press on, if it is so that I may take hold of that for which also I was taken hold of by Christ Jesus."
50003013,50,3,13,"Brothers, I don't regard myself as yet having taken hold, but one thing I do. Forgetting the things which are behind, and stretching forward to the things which are before,"
50003014,50,3,14,I press on toward the goal for the prize of the high calling of God in Christ Jesus.
50003015,50,3,15,"Let us therefore, as many as are perfect, think this way. If in anything you think otherwise, God will also reveal that to you."
50003016,50,3,16,"Nevertheless, to the extent that we have already attained, let us walk by the same rule. Let us be of the same mind."
50003017,50,3,17,"Brothers, be imitators together of me, and note those who walk this way, even as you have us for an example."
50003018,50,3,18,"For many walk, of whom I told you often, and now tell you even weeping, as the enemies of the cross of Christ,"
50003019,50,3,19,"whose end is destruction, whose god is the belly, and whose glory is in their shame, who think about earthly things."
50003020,50,3,20,"For our citizenship is in heaven, from where we also wait for a Savior, the Lord Jesus Christ;"
50003021,50,3,21,"who will change the body of our humiliation to be conformed to the body of his glory, according to the working by which he is able even to subject all things to himself."
50004001,50,4,1,"Therefore, my brothers, beloved and longed for, my joy and crown, so stand firm in the Lord, my beloved."
50004002,50,4,2,"I exhort Euodia, and I exhort Syntyche, to think the same way in the Lord."
50004003,50,4,3,"Yes, I beg you also, true yoke-fellow, help these women, for they labored with me in the Gospel, with Clement also, and the rest of my fellow workers, whose names are in the book of life."
50004004,50,4,4,"Rejoice in the Lord always! Again I will say, Rejoice!"
50004005,50,4,5,Let your gentleness be known to all men. The Lord is at hand.
50004006,50,4,6,"In nothing be anxious, but in everything, by prayer and petition with thanksgiving, let your requests be made known to God."
50004007,50,4,7,"And the peace of God, which surpasses all understanding, will guard your hearts and your thoughts in Christ Jesus."
50004008,50,4,8,"Finally, brothers, whatever things are true, whatever things are honorable, whatever things are just, whatever things are pure, whatever things are lovely, whatever things are of good report; if there is any virtue, and if there is any praise, think about these things."
50004009,50,4,9,"The things which you learned, received, heard, and saw in me: do these things, and the God of peace will be with you."
