id,b,c,v,t
20001001,20,1,1,"The proverbs of Solomon, the son of David, king of Israel:"
20001002,20,1,2,To know wisdom and instruction; To discern the words of understanding;
20001003,20,1,3,"To receive instruction in wise dealing, In righteousness, justice, and equity;"
20001004,20,1,4,"To give prudence to the simple, Knowledge and discretion to the young man:"
20001005,20,1,5,"That the wise man may hear, and increase in learning; That the man of understanding may attain to sound counsel:"
20001006,20,1,6,"To understand a proverb, and parables, The words and riddles of the wise."
20001007,20,1,7,The fear of Yahweh is the beginning of knowledge; But the foolish despise wisdom and instruction.
20001008,20,1,8,"My son, listen to your father's instruction, And don't forsake your mother's teaching:"
20001009,20,1,9,"For they will be a garland to grace your head, And chains around your neck."
20001010,20,1,10,"My son, if sinners entice you, don't consent."
20001011,20,1,11,"If they say, ""Come with us, Let's lay in wait for blood; Let's lurk secretly for the innocent without cause;"
20001012,20,1,12,"Let's swallow them up alive like Sheol, And whole, like those who go down into the pit."
20001013,20,1,13,We'll find all valuable wealth. We'll fill our houses with spoil.
20001014,20,1,14,"You shall cast your lot among us. We'll all have one purse."""
20001015,20,1,15,"My son, don't walk in the way with them. Keep your foot from their path,"
20001016,20,1,16,For their feet run to evil. They hurry to shed blood.
20001017,20,1,17,For in vain is the net spread in the sight of any bird:
20001018,20,1,18,But these lay wait for their own blood. They lurk secretly for their own lives.
20001019,20,1,19,So are the ways of everyone who is greedy for gain. It takes away the life of its owners.
20001020,20,1,20,Wisdom calls aloud in the street. She utters her voice in the public squares.
20001021,20,1,21,"She calls at the head of noisy places. At the entrance of the city gates, she utters her words:"
20001022,20,1,22,"""How long, you simple ones, will you love simplicity? How long will mockers delight themselves in mockery, And fools hate knowledge?"
20001023,20,1,23,"Turn at my reproof. Behold, I will pour out my spirit on you. I will make known my words to you."
20001024,20,1,24,"Because I have called, and you have refused; I have stretched out my hand, and no one has paid attention;"
20001025,20,1,25,"But you have ignored all my counsel, And wanted none of my reproof;"
20001026,20,1,26,I also will laugh at your disaster. I will mock when calamity overtakes you;
20001027,20,1,27,"When calamity overtakes you like a storm, When your disaster comes on like a whirlwind; When distress and anguish come on you."
20001028,20,1,28,"Then will they call on me, but I will not answer. They will seek me diligently, but they will not find me;"
20001029,20,1,29,"Because they hated knowledge, And didn't choose the fear of Yahweh."
20001030,20,1,30,They wanted none of my counsel. They despised all my reproof.
20001031,20,1,31,"Therefore they will eat of the fruit of their own way, And be filled with their own schemes."
20001032,20,1,32,For the backsliding of the simple will kill them. The careless ease of fools will destroy them.
20001033,20,1,33,"But whoever listens to me will dwell securely, And will be at ease, without fear of harm."""
20002001,20,2,1,"My son, if you will receive my words, And store up my commandments within you;"
20002002,20,2,2,"So as to turn your ear to wisdom, And apply your heart to understanding;"
20002003,20,2,3,"Yes, if you call out for discernment, And lift up your voice for understanding;"
20002004,20,2,4,"If you seek her as silver, And search for her as for hidden treasures:"
20002005,20,2,5,"Then you will understand the fear of Yahweh, And find the knowledge of God."
20002006,20,2,6,For Yahweh gives wisdom. Out of his mouth comes knowledge and understanding.
20002007,20,2,7,He lays up sound wisdom for the upright. He is a shield to those who walk in integrity;
20002008,20,2,8,"That he may guard the paths of justice, And preserve the way of his saints."
20002009,20,2,9,"Then you will understand righteousness and justice, Equity and every good path."
20002010,20,2,10,For wisdom will enter into your heart. Knowledge will be pleasant to your soul.
20002011,20,2,11,"Discretion will watch over you. Understanding will keep you,"
20002012,20,2,12,"To deliver you from the way of evil, From the men who speak perverse things;"
20002013,20,2,13,"Who forsake the paths of uprightness, To walk in the ways of darkness;"
20002014,20,2,14,"Who rejoice to do evil, And delight in the perverseness of evil;"
20002015,20,2,15,"Who are crooked in their ways, And wayward in their paths:"
20002016,20,2,16,"To deliver you from the strange woman, Even from the foreigner who flatters with her words;"
20002017,20,2,17,"Who forsakes the friend of her youth, And forgets the covenant of her God:"
20002018,20,2,18,"For her house leads down to death, Her paths to the dead."
20002019,20,2,19,"None who go to her return again, Neither do they attain to the paths of life:"
20002020,20,2,20,"That you may walk in the way of good men, And keep the paths of the righteous."
20002021,20,2,21,For the upright will dwell in the land. The perfect will remain in it.
20002022,20,2,22,But the wicked will be cut off from the land. The treacherous will be rooted out of it.
20003001,20,3,1,"My son, don't forget my teaching; But let your heart keep my commandments:"
20003002,20,3,2,"For length of days, and years of life, And peace, will they add to you."
20003003,20,3,3,Don't let kindness and truth forsake you. Bind them around your neck. Write them on the tablet of your heart.
20003004,20,3,4,"So you will find favor, And good understanding in the sight of God and man."
20003005,20,3,5,"Trust in Yahweh with all your heart, And don't lean on your own understanding."
20003006,20,3,6,"In all your ways acknowledge him, And he will direct your paths."
20003007,20,3,7,"Don't be wise in your own eyes. Fear Yahweh, and depart from evil."
20003008,20,3,8,"It will be health to your body, And nourishment to your bones."
20003009,20,3,9,"Honor Yahweh with your substance, With the first fruits of all your increase:"
20003010,20,3,10,"So your barns will be filled with plenty, And your vats will overflow with new wine."
20003011,20,3,11,"My son, don't despise Yahweh's discipline, Neither be weary of his reproof:"
20003012,20,3,12,"For whom Yahweh loves, he reproves; Even as a father reproves the son in whom he delights."
20003013,20,3,13,"Happy is the man who finds wisdom, The man who gets understanding."
20003014,20,3,14,"For her good profit is better than getting silver, And her return is better than fine gold."
20003015,20,3,15,She is more precious than rubies. None of the things you can desire are to be compared to her.
20003016,20,3,16,Length of days is in her right hand. In her left hand are riches and honor.
20003017,20,3,17,Her ways are ways of pleasantness. All her paths are peace.
20003018,20,3,18,She is a tree of life to those who lay hold of her. Happy is everyone who retains her.
20003019,20,3,19,"By wisdom Yahweh founded the earth. By understanding, he established the heavens."
20003020,20,3,20,"By his knowledge, the depths were broken up, And the skies drop down the dew."
20003021,20,3,21,"My son, let them not depart from your eyes. Keep sound wisdom and discretion:"
20003022,20,3,22,"So they will be life to your soul, And grace for your neck."
20003023,20,3,23,Then you shall walk in your way securely. Your foot won't stumble.
20003024,20,3,24,"When you lie down, you will not be afraid. Yes, you will lie down, and your sleep will be sweet."
20003025,20,3,25,"Don't be afraid of sudden fear, Neither of the desolation of the wicked, when it comes:"
20003026,20,3,26,"For Yahweh will be your confidence, And will keep your foot from being taken."
20003027,20,3,27,"Don't withhold good from those to whom it is due, When it is in the power of your hand to do it."
20003028,20,3,28,"Don't say to your neighbor, ""Go, and come again, Tomorrow I will give it to you,"" When you have it by you."
20003029,20,3,29,"Don't devise evil against your neighbor, Seeing he dwells securely by you."
20003030,20,3,30,"Don't strive with a man without cause, If he has done you no harm."
20003031,20,3,31,Don't envy the man of violence. Choose none of his ways.
20003032,20,3,32,"For the perverse is an abomination to Yahweh, But his friendship is with the upright."
20003033,20,3,33,"Yahweh's curse is in the house of the wicked, But he blesses the habitation of the righteous."
20003034,20,3,34,"Surely he mocks the mockers, But he gives grace to the humble."
20003035,20,3,35,"The wise will inherit glory, But shame will be the promotion of fools."
