id,b,c,v,t
19001001,19,1,1,"Blessed is the man who doesn't walk in the counsel of the wicked, Nor stand in the way of sinners, Nor sit in the seat of scoffers;"
19001002,19,1,2,But his delight is in Yahweh's law; On his law he meditates day and night.
19001003,19,1,3,"He will be like a tree planted by the streams of water, That brings forth its fruit in its season, Whose leaf also does not wither. Whatever he does shall prosper."
19001004,19,1,4,"The wicked are not so, But are like the chaff which the wind drives away."
19001005,19,1,5,"Therefore the wicked shall not stand in the judgment, Nor sinners in the congregation of the righteous."
19001006,19,1,6,"For Yahweh knows the way of the righteous, But the way of the wicked shall perish."
19002001,19,2,1,"Why do the nations rage, And the peoples plot a vain thing?"
19002002,19,2,2,"The kings of the earth take a stand, And the rulers take counsel together, Against Yahweh, and against his anointed,{The word ""anointed"" is the same as the word for ""Messiah"" or ""Christ""} saying,"
19002003,19,2,3,"""Let's break their bonds apart, And cast away their cords from us."""
19002004,19,2,4,He who sits in the heavens will laugh. The Lord will have them in derision.
19002005,19,2,5,"Then he will speak to them in his anger, And terrify them in his wrath:"
19002006,19,2,6,"""Yet I have set my king on my holy hill of Zion."""
19002007,19,2,7,"I will tell of the decree. Yahweh said to me, ""You are my son. Today I have become your father."
19002008,19,2,8,"Ask of me, and I will give the nations for your inheritance, The uttermost parts of the earth for your possession."
19002009,19,2,9,"You shall break them with a rod of iron. You shall dash them in pieces like a potter's vessel."""
19002010,19,2,10,"Now therefore be wise, you kings. Be instructed, you judges of the earth."
19002011,19,2,11,"Serve Yahweh with fear, And rejoice with trembling."
19002012,19,2,12,"Kiss the son, lest he be angry, and you perish in the way, For his wrath will soon be kindled. Blessed are all those who take refuge in him."
19003001,19,3,1,"&gt; Yahweh, how my adversaries have increased! Many are those who rise up against me."
19003002,19,3,2,"Many there are who say of my soul, ""There is no help for him in God."" Selah."
19003003,19,3,3,"But you, Yahweh, are a shield around me, My glory, and the one who lifts up my head."
19003004,19,3,4,"I cry to Yahweh with my voice, And he answers me out of his holy hill. Selah."
19003005,19,3,5,I laid myself down and slept. I awakened; for Yahweh sustains me.
19003006,19,3,6,I will not be afraid of tens of thousands of people Who have set themselves against me on every side.
19003007,19,3,7,"Arise, Yahweh! Save me, my God! For you have struck all of my enemies on the cheek bone. You have broken the teeth of the wicked."
19003008,19,3,8,Salvation belongs to Yahweh. Your blessing be on your people. Selah.
19004001,19,4,1,"&gt; Answer me when I call, God of my righteousness. Give me relief from my distress. Have mercy on me, and hear my prayer."
19004002,19,4,2,"You sons of men, how long shall my glory be turned into dishonor? Will you love vanity, and seek after falsehood? Selah."
19004003,19,4,3,But know that Yahweh has set apart for himself him who is godly: Yahweh will hear when I call to him.
19004004,19,4,4,"Stand in awe, and don't sin. Search your own heart on your bed, and be still. Selah."
19004005,19,4,5,Offer the sacrifices of righteousness. Put your trust in Yahweh.
19004006,19,4,6,"Many say, ""Who will show us any good?"" Yahweh, let the light of your face shine on us."
19004007,19,4,7,"You have put gladness in my heart, More than when their grain and their new wine are increased."
19004008,19,4,8,"In peace I will both lay myself down and sleep, For you, Yahweh alone, make me live in safety."
19005001,19,5,1,"&gt; Give ear to my words, Yahweh. Consider my meditation."
19005002,19,5,2,"Listen to the voice of my cry, my King and my God; For to you do I pray."
19005003,19,5,3,"Yahweh, in the morning you shall hear my voice. In the morning I will lay my requests before you, and will watch expectantly."
19005004,19,5,4,For you are not a God who has pleasure in wickedness. Evil can't live with you.
19005005,19,5,5,The arrogant shall not stand in your sight. You hate all workers of iniquity.
19005006,19,5,6,You will destroy those who speak lies. Yahweh abhors the blood-thirsty and deceitful man.
19005007,19,5,7,"But as for me, in the abundance of your loving kindness I will come into your house: I will bow toward your holy temple in reverence of you."
19005008,19,5,8,"Lead me, Yahweh, in your righteousness because of my enemies. Make your way straight before my face."
19005009,19,5,9,For there is no faithfulness in their mouth. Their heart is destruction. Their throat is an open tomb. They flatter with their tongue.
19005010,19,5,10,"Hold them guilty, God. Let them fall by their own counsels; Thrust them out in the multitude of their transgressions, For they have rebelled against you."
19005011,19,5,11,"But let all those who take refuge in you rejoice, Let them always shout for joy, because you defend them. Let them also who love your name be joyful in you."
19005012,19,5,12,"For you will bless the righteous. Yahweh, you will surround him with favor as with a shield."
19006001,19,6,1,"&gt; Yahweh, don't rebuke me in your anger, Neither discipline me in your wrath."
19006002,19,6,2,"Have mercy on me, Yahweh, for I am faint. Yahweh, heal me, for my bones are troubled."
19006003,19,6,3,"My soul is also in great anguish. But you, Yahweh--how long?"
19006004,19,6,4,"Return, Yahweh. Deliver my soul, And save me for your loving kindness' sake."
19006005,19,6,5,"For in death there is no memory of you. In Sheol, who shall give you thanks?"
19006006,19,6,6,I am weary with my groaning; Every night I flood my bed; I drench my couch with my tears.
19006007,19,6,7,My eye wastes away because of grief; It grows old because of all my adversaries.
19006008,19,6,8,"Depart from me, all you workers of iniquity, For Yahweh has heard the voice of my weeping."
19006009,19,6,9,Yahweh has heard my supplication. Yahweh accepts my prayer.
19006010,19,6,10,"May all my enemies be ashamed and dismayed. They shall turn back, they shall be disgraced suddenly."
19007001,19,7,1,"&gt; Yahweh, my God, I take refuge in you. Save me from all those who pursue me, and deliver me,"
19007002,19,7,2,"Lest they tear apart my soul like a lion, Ripping it in pieces, while there is none to deliver."
19007003,19,7,3,"Yahweh, my God, if I have done this, If there is iniquity in my hands,"
19007004,19,7,4,"If I have rewarded evil to him who was at peace with me (Yes, I have delivered him who without cause was my adversary),"
19007005,19,7,5,"Let the enemy pursue my soul, and overtake it; Yes, let him tread my life down to the earth, And lay my glory in the dust. Selah."
19007006,19,7,6,"Arise, Yahweh, in your anger. Lift up yourself against the rage of my adversaries. Awake for me. You have commanded judgment."
19007007,19,7,7,Let the congregation of the peoples surround you. Rule over them on high.
19007008,19,7,8,"Yahweh administers judgment to the peoples. Judge me, Yahweh, according to my righteousness, And to my integrity that is in me."
19007009,19,7,9,"Oh let the wickedness of the wicked come to an end, But establish the righteous; Their minds and hearts are searched by the righteous God."
19007010,19,7,10,"My shield is with God, Who saves the upright in heart."
19007011,19,7,11,"God is a righteous judge, Yes, a God who has indignation every day."
19007012,19,7,12,"If a man doesn't relent, he will sharpen his sword; He has bent and strung his bow."
19007013,19,7,13,He has also prepared for himself the instruments of death. He makes ready his flaming arrows.
19007014,19,7,14,"Behold, he travails with iniquity; Yes, he has conceived mischief, And brought forth falsehood."
19007015,19,7,15,"He has dug a hole, And has fallen into the pit which he made."
19007016,19,7,16,The trouble he causes shall return to his own head. His violence shall come down on the crown of his own head.
19007017,19,7,17,"I will give thanks to Yahweh according to his righteousness, And will sing praise to the name of Yahweh Most High."
19008001,19,8,1,"&gt; Yahweh, our Lord, how majestic is your name in all the earth, Who has set your glory above the heavens!"
19008002,19,8,2,"From the lips of babes and infants you have established strength, Because of your adversaries, that you might silence the enemy and the avenger."
19008003,19,8,3,"When I consider your heavens, the work of your fingers, The moon and the stars, which you have ordained;"
19008004,19,8,4,"What is man, that you think of him? The son of man, that you care for him?"
19008005,19,8,5,"For you have made him a little lower than God,{Hebrew: Elohim} And crowned him with glory and honor."
19008006,19,8,6,You make him ruler over the works of your hands. You have put all things under his feet:
19008007,19,8,7,"All sheep and oxen, Yes, and the animals of the field,"
19008008,19,8,8,"The birds of the sky, the fish of the sea, And whatever passes through the paths of the seas."
19008009,19,8,9,"Yahweh, our Lord, How majestic is your name in all the earth!"
19009001,19,9,1,&gt; I will give thanks to Yahweh with my whole heart. I will tell of all your marvelous works.
19009002,19,9,2,"I will be glad and rejoice in you. I will sing praise to your name, O Most High."
19009003,19,9,3,"When my enemies turn back, They stumble and perish in your presence."
19009004,19,9,4,For you have maintained my just cause. You sit on the throne judging righteously.
19009005,19,9,5,You have rebuked the nations. You have destroyed the wicked. You have blotted out their name forever and ever.
19009006,19,9,6,The enemy is overtaken by endless ruin. The very memory of the cities which you have overthrown has perished.
19009007,19,9,7,But Yahweh reigns forever. He has prepared his throne for judgment.
19009008,19,9,8,He will judge the world in righteousness. He will administer judgment to the peoples in uprightness.
19009009,19,9,9,Yahweh will also be a high tower for the oppressed; A high tower in times of trouble.
19009010,19,9,10,"Those who know your name will put their trust in you, For you, Yahweh, have not forsaken those who seek you."
19009011,19,9,11,"Sing praises to Yahweh, who dwells in Zion, And declare among the people what he has done."
19009012,19,9,12,For he who avenges blood remembers them. He doesn't forget the cry of the afflicted.
19009013,19,9,13,"Have mercy on me, Yahweh. See my affliction by those who hate me, And lift me up from the gates of death;"
19009014,19,9,14,"That I may show forth all your praise. In the gates of the daughter of Zion, I will rejoice in your salvation."
19009015,19,9,15,"The nations have sunk down in the pit that they made; In the net which they hid, their own foot is taken."
19009016,19,9,16,Yahweh has made himself known. He has executed judgment. The wicked is snared by the work of his own hands. Meditation. Selah.
19009017,19,9,17,"The wicked shall be turned back to Sheol, Even all the nations that forget God."
19009018,19,9,18,"For the needy shall not always be forgotten, Nor the hope of the poor perish forever."
19009019,19,9,19,"Arise, Yahweh! Don't let man prevail. Let the nations be judged in your sight."
19009020,19,9,20,"Put them in fear, Yahweh. Let the nations know that they are only men. Selah."
19010001,19,10,1,"Why do you stand far off, Yahweh? Why do you hide yourself in times of trouble?"
19010002,19,10,2,"In arrogance, the wicked hunt down the weak; They are caught in the schemes that they devise."
19010003,19,10,3,"For the wicked boasts of his heart's cravings, He blesses the greedy, and condemns Yahweh."
19010004,19,10,4,"The wicked, in the pride of his face, Has no room in his thoughts for God."
19010005,19,10,5,"His ways are prosperous at all times; He is haughty, and your laws are far from his sight: As for all his adversaries, he sneers at them."
19010006,19,10,6,"He says in his heart, ""I shall not be shaken; For generations I shall have no trouble."""
19010007,19,10,7,"His mouth is full of cursing, deceit, and oppression. Under his tongue is mischief and iniquity."
19010008,19,10,8,"He lies in wait near the villages. From ambushes, he murders the innocent. His eyes are secretly set against the helpless."
19010009,19,10,9,"He lurks in secret as a lion in his ambush. He lies in wait to catch the helpless. He catches the helpless, when he draws him in his net."
19010010,19,10,10,"The helpless are crushed, they collapse, They fall under his strength."
19010011,19,10,11,"He says in his heart, ""God has forgotten. He hides his face. He will never see it."""
19010012,19,10,12,"Arise, Yahweh! God, lift up your hand! Don't forget the helpless."
19010013,19,10,13,"Why does the wicked person condemn God, And say in his heart, ""God won't call me into account?"""
19010014,19,10,14,But you do see trouble and grief; You consider it to take it into your hand. You help the victim and the fatherless.
19010015,19,10,15,"Break the arm of the wicked. As for the evil man, seek out his wickedness until you find none."
19010016,19,10,16,Yahweh is King forever and ever! The nations will perish out of his land.
19010017,19,10,17,"Yahweh, you have heard the desire of the humble. You will prepare their heart. You will cause your ear to hear,"
19010018,19,10,18,"To judge the fatherless and the oppressed, That man who is of the earth may terrify no more."
19011001,19,11,1,"&gt; In Yahweh, I take refuge. How can you say to my soul, ""Flee as a bird to your mountain!"""
19011002,19,11,2,"For, behold, the wicked bend their bows. They set their arrows on the strings, That they may shoot in darkness at the upright in heart."
19011003,19,11,3,"If the foundations are destroyed, What can the righteous do?"
