id,b,c,v,t
38001001,38,1,1,"In the eighth month, in the second year of Darius, the word of Yahweh came to Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,"
38001002,38,1,2,"""Yahweh was very displeased with your fathers."
38001003,38,1,3,"Therefore tell them: Thus says Yahweh of Hosts: 'Return to me,' says Yahweh of Hosts, 'and I will return to you,' says Yahweh of Hosts."
38001004,38,1,4,"Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says Yahweh of hosts, 'Return now from your evil ways, and from your evil doings;' but they did not hear, nor listen to me, says Yahweh."
38001005,38,1,5,"Your fathers, where are they? And the prophets, do they live forever?"
38001006,38,1,6,"But my words and my decrees, which I commanded my servants the prophets, didn't they overtake your fathers? ""Then they repented and said, 'Just as Yahweh of Hosts determined to do to us, according to our ways, and according to our practices, so he has dealt with us.'"""
38001007,38,1,7,"On the twenty-fourth day of the eleventh month, which is the month Shebat, in the second year of Darius, the word of Yahweh came to Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,"
38001008,38,1,8,"""I had a vision in the night, and, behold, a man riding on a red horse, and he stood among the myrtle trees that were in a ravine; and behind him there were red, brown, and white horses."
38001009,38,1,9,"Then I asked, 'My lord, what are these?'"" The angel who talked with me said to me, ""I will show you what these are."""
38001010,38,1,10,"The man who stood among the myrtle trees answered, ""They are the ones Yahweh has sent to go back and forth through the earth."""
38001011,38,1,11,"They reported to the angel of Yahweh who stood among the myrtle trees, and said, ""We have walked back and forth through the earth, and, behold, all the earth is at rest and in peace."""
38001012,38,1,12,"Then the angel of Yahweh replied, ""O Yahweh of Hosts, how long will you not have mercy on Jerusalem and on the cities of Judah, against which you have had indignation these seventy years?"""
38001013,38,1,13,Yahweh answered the angel who talked with me with kind and comforting words.
38001014,38,1,14,"So the angel who talked with me said to me, ""Proclaim, saying, 'Thus says Yahweh of Hosts: ""I am jealous for Jerusalem and for Zion with a great jealousy."
38001015,38,1,15,"I am very angry with the nations that are at ease; for I was but a little displeased, but they added to the calamity."""
38001016,38,1,16,"Therefore thus says Yahweh: ""I have returned to Jerusalem with mercy. My house shall be built in it,"" says Yahweh of Hosts, ""and a line shall be stretched forth over Jerusalem.""'"
38001017,38,1,17,"""Proclaim further, saying, 'Thus says Yahweh of Hosts: ""My cities will again overflow with prosperity, and Yahweh will again comfort Zion, and will again choose Jerusalem.""'"""
38001018,38,1,18,"I lifted up my eyes, and saw, and, behold, four horns."
38001019,38,1,19,"I asked the angel who talked with me, ""What are these?"" He answered me, ""These are the horns which have scattered Judah, Israel, and Jerusalem."""
38001020,38,1,20,Yahweh showed me four craftsmen.
38001021,38,1,21,"Then I asked, ""What are these coming to do?"" He said, ""These are the horns which scattered Judah, so that no man lifted up his head; but these have come to terrify them, to cast down the horns of the nations, which lifted up their horn against the land of Judah to scatter it."""
38002001,38,2,1,"I lifted up my eyes, and saw, and, behold, a man with a measuring line in his hand."
38002002,38,2,2,"Then I asked, ""Where are you going?"" He said to me, ""To measure Jerusalem, to see what is its breadth and what is its length."""
38002003,38,2,3,"Behold, the angel who talked with me went forth, and another angel went out to meet him,"
38002004,38,2,4,"and said to him, ""Run, speak to this young man, saying, 'Jerusalem will be inhabited as villages without walls, because of the multitude of men and cattle in it."
38002005,38,2,5,"For I,' says Yahweh, 'will be to her a wall of fire around it, and I will be the glory in the midst of her."
38002006,38,2,6,"Come! Come! Flee from the land of the north,' says Yahweh; 'for I have spread you abroad as the four winds of the sky,' says Yahweh."
38002007,38,2,7,"'Come, Zion! Escape, you who dwell with the daughter of Babylon.'"
38002008,38,2,8,For thus says Yahweh of hosts: 'For honor he has sent me to the nations which plundered you; for he who touches you touches the apple of his eye.
38002009,38,2,9,"For, behold, I will shake my hand over them, and they will be a spoil to those who served them; and you will know that Yahweh of Hosts has sent me."
38002010,38,2,10,"Sing and rejoice, daughter of Zion; for, behold, I come, and I will dwell in the midst of you,' says Yahweh."
38002011,38,2,11,"Many nations shall join themselves to Yahweh in that day, and shall be my people; and I will dwell in the midst of you, and you shall know that Yahweh of Hosts has sent me to you."
38002012,38,2,12,"Yahweh will inherit Judah as his portion in the holy land, and will again choose Jerusalem."
38002013,38,2,13,"Be silent, all flesh, before Yahweh; for he has roused himself from his holy habitation!"""
38003001,38,3,1,"He showed me Joshua the high priest standing before the angel of Yahweh, and Satan standing at his right hand to be his adversary."
38003002,38,3,2,"Yahweh said to Satan, ""Yahweh rebuke you, Satan! Yes, Yahweh who has chosen Jerusalem rebuke you! Isn't this a burning stick plucked out of the fire?"""
38003003,38,3,3,"Now Joshua was clothed with filthy garments, and was standing before the angel."
38003004,38,3,4,"He answered and spoke to those who stood before him, saying, ""Take the filthy garments off of him."" To him he said, ""Behold, I have caused your iniquity to pass from you, and I will clothe you with rich clothing."""
38003005,38,3,5,"I said, ""Let them set a clean turban on his head."" So they set a clean turban on his head, and clothed him; and the angel of Yahweh was standing by."
38003006,38,3,6,"The angel of Yahweh protested to Joshua, saying,"
38003007,38,3,7,"""Thus says Yahweh of hosts: 'If you will walk in my ways, and if you will keep my charge, then you also shall judge my house, and shall also keep my courts, and I will give you a place of access among these who stand by."
38003008,38,3,8,"Hear now, Joshua the high priest, you and your fellows who sit before you; for they are men who are a sign: for, behold, I will bring forth my servant, the Branch."
38003009,38,3,9,"For, behold, the stone that I have set before Joshua; on one stone are seven eyes: behold, I will engrave the engraving of it,' says Yahweh of Hosts, 'and I will remove the iniquity of that land in one day."
38003010,38,3,10,"In that day,' says Yahweh of hosts, 'you will invite every man his neighbor under the vine and under the fig tree.'"""
38004001,38,4,1,"The angel who talked with me came again, and wakened me, as a man who is wakened out of his sleep."
38004002,38,4,2,"He said to me, ""What do you see?"" I said, ""I have seen, and, behold, a lampstand all of gold, with its bowl on the top of it, and its seven lamps thereon; there are seven pipes to each of the lamps, which are on the top of it;"
38004003,38,4,3,"and two olive trees by it, one on the right side of the bowl, and the other on the left side of it."""
38004004,38,4,4,"I answered and spoke to the angel who talked with me, saying, ""What are these, my lord?"""
38004005,38,4,5,"Then the angel who talked with me answered me, ""Don't you know what these are?"" I said, ""No, my lord."""
38004006,38,4,6,"Then he answered and spoke to me, saying, ""This is the word of Yahweh to Zerubbabel, saying, 'Not by might, nor by power, but by my Spirit,' says Yahweh of Hosts."
38004007,38,4,7,"Who are you, great mountain? Before Zerubbabel you are a plain; and he will bring out the capstone with shouts of 'Grace, grace, to it!'"""
38004008,38,4,8,"Moreover the word of Yahweh came to me, saying,"
38004009,38,4,9,"""The hands of Zerubbabel have laid the foundation of this house. His hands shall also finish it; and you will know that Yahweh of Hosts has sent me to you."
38004010,38,4,10,"Indeed, who despises the day of small things? For these seven shall rejoice, and shall see the plumb line in the hand of Zerubbabel. These are the eyes of Yahweh, which run back and forth through the whole earth."""
38004011,38,4,11,"Then I asked him, ""What are these two olive trees on the right side of the lampstand and on the left side of it?"""
